campaign_id,po_id
DY_B2S_2024_001,PO-2da6a05824
DY_B2S_2024_001,PO-47a0bfac4c
DY_B2S_2024_001,PO-ef1ee70bf4
DY_B2S_2024_001,PO-574dbd10df
DY_B2S_2024_001,PO-a69c1f0d5e
DY_B2S_2024_001,PO-cdef4ff76e
DY_HOL_2024_001,PO-dd02fe388a
DY_HOL_2024_001,PO-c5e790b4b0
DY_HOL_2024_001,PO-49f008b51b
DY_HOL_2024_001,PO-d67aed6b3c
DY_HOL_2024_001,PO-4e1d2d6f60
DY_HOL_2024_001,PO-9222cc8016
DY_HOL_2024_001,PO-7224f18f45
DY_HOL_2024_001,PO-5b5294f832
DY_HOL_2024_001,PO-01740dced5
DY_HOL_2024_001,PO-0cc1cbfac0
DY_HOL_2024_001,PO-83bbacdc85
DYSON_MD_2024_001,PO-21bb360422
DYSON_MD_2024_001,PO-ab4d43214a
DYSON_MD_2024_001,PO-8aeedce030
DYSON_MD_2024_001,PO-d3fb33fbcc
DYSON_MD_2024_001,PO-7f273ef2b4
DYSON_MD_2024_001,PO-803aea9a8a
DYSON_MD_2024_001,PO-d7f0077c59
DYSON_MD_2024_001,PO-770c60d9f0
DYSON_MD_2024_001,PO-b323efa212
DYSON_MD_2024_001,PO-d3c6200e01
DYSON_MD_2024_001,PO-34acc0321d
DYSON_MD_2024_001,PO-fd24cbb04e
DYSON_MD_2024_001,PO-e8ac3a14d7
DYSON_MD_2024_001,PO-84b65681e8
DYSON_MD_2024_001,PO-68dff747d2
DYSON_MD_2024_001,PO-c4dd075bd3
DYSON_MD_2024_001,PO-259b82c88a
DYSON_MD_2024_001,PO-484654cf8b
DYSON_MD_2024_001,PO-4e9ecf3dac
DY_COOL_2024_001,PO-a3df9b572d
DY_COOL_2024_001,PO-58308ff407
DY_COOL_2024_001,PO-b6ac2b5c73
DY_COOL_2024_001,PO-fd033e68f6
DY_COOL_2024_001,PO-bf21347b32
DY_COOL_2024_001,PO-1069bc038f
DY_COOL_2024_001,PO-b308c1586f
DY_COOL_2024_001,PO-06b8c5e5c9
DY_COOL_2024_001,PO-de956df619
DY_COOL_2024_001,PO-d4c4b50d6f
DY_COOL_2024_001,PO-36fa460dd2
DY_WIN_2024_001,PO-aa9377544e
DY_WIN_2024_001,PO-be84d7fa5d
DY_WIN_2024_001,PO-8c06128611
DY_WIN_2024_001,PO-6bb019e1a7
DY_WIN_2024_001,PO-a41ce5f4cc
DY_WIN_2024_001,PO-5d2e0c7c33
DY_WIN_2024_001,PO-7c8beadbbc
DY_WIN_2024_001,PO-1e39c1f6ef
DY_WIN_2024_001,PO-050a493a8a
DY_WIN_2024_001,PO-dc95322104
DY_WIN_2024_001,PO-0f57cde8ff
DY_WIN_2024_001,PO-16edf8447c
DY_WIN_2024_001,PO-400a5632f7
DY_WIN_2024_001,PO-35222f16b6
DY_WIN_2024_001,PO-b6254234f1
EM_AUT_2024_001,PO-70021f0b33
EM_AUT_2024_001,PO-9bcebf021b
EM_AUT_2024_001,PO-f2763649a2
EM_AUT_2024_001,PO-b12a38b9d4
EM_AUT_2024_001,PO-d54ef47226
EM_AUT_2024_001,PO-97f429db4c
EM_AUT_2024_001,PO-3b5bf11537
EM_AUT_2024_001,PO-c95f3f34c6
EM_AUT_2024_001,PO-ea4ae2d0f7
EM_AUT_2024_001,PO-1ebcb4bbb0
EM_AUT_2024_001,PO-9bbafd4b71
EM_BEDSET_2024_001,PO-bc7447ec56
EM_BEDSET_2024_001,PO-e55c080fdd
EM_BEDSET_2024_001,PO-e65ef06163
EM_BEDSET_2024_001,PO-4002f20860
EM_BEDSET_2024_001,PO-408c5677b5
EM_BEDSET_2024_001,PO-bfe8e433c7
EM_BEDSET_2024_001,PO-1ff483772b
EM_BEDSET_2024_001,PO-9e3379b0bb
EM_NGHYB_2024_001,PO-d4fbdb6768
EM_NGHYB_2024_001,PO-df9a473866
EM_NGHYB_2024_001,PO-0fde0c483e
EM_NGHYB_2024_001,PO-fdd2c2c505
EM_NGHYB_2024_001,PO-92e8794da1
EM_NGHYB_2024_001,PO-8930a22ab4
EM_NGHYB_2024_001,PO-ca16f88b1f
EM_NGHYB_2024_001,PO-e33313f174
EM_NGHYB_2024_001,PO-22fa7e3671
EM_NGHYB_2024_001,PO-3a8a5095da
EM_NGHYB_2024_001,PO-1b30983910
EM_NGHYB_2024_001,PO-e42f2dc124
EM_NGHYB_2024_001,PO-4fd8d70923
EM_SW_2024_001,PO-1669887fec
EM_SW_2024_001,PO-04ddb5e917
EM_SW_2024_001,PO-992aab1712
EM_SW_2024_001,PO-8e09bd4c8c
EM_SW_2024_001,PO-06cf2d25b3
EM_SW_2024_001,PO-7db35961b7
EM_SW_2024_001,PO-34a51e5bd5
EM_SW_2024_001,PO-b482853611
EM_SW_2024_001,PO-a457aec32b
EM_UPG_2024_001,PO-00748499ca
EM_UPG_2024_001,PO-90d8a01ab7
EM_UPG_2024_001,PO-88aeb6870d
EM_UPG_2024_001,PO-c773fe5005
EM_UPG_2024_001,PO-dd035cc360
EM_UPG_2024_001,PO-0875d36b15
EM_UPG_2024_001,PO-56b8ed371b
EM_WSF_2024_001,PO-ea19e477a4
EM_WSF_2024_001,PO-10212f0468
EM_WSF_2024_001,PO-351176168e
EM_WSF_2024_001,PO-efa92f9ca5
EM_WSF_2024_001,PO-72e66e7557
EM_WSF_2024_001,PO-4d202b07c8
EM_WSF_2024_001,PO-9b638b1bb0
EM_WSF_2024_001,PO-542bd4db97
EM_WSF_2024_001,PO-b81f3947d8
EL_AUT_2024_001,PO-1c6bd2417e
EL_AUT_2024_001,PO-515d128220
EL_AUT_2024_001,PO-e50fef8af6
EL_AUT_2024_001,PO-c0b528538c
EL_AUT_2024_001,PO-1182f9329e
EL_AUT_2024_001,PO-51e72adb9c
EL_AUT_2024_001,PO-3c0023b881
EL_AUT_2024_001,PO-d42b03b4e4
EL_AUT_2024_001,PO-d0409fc109
EL_DWR_2024_001,PO-d5a947ce75
EL_DWR_2024_001,PO-8aa4531868
EL_DWR_2024_001,PO-805bf1f760
EL_DWR_2024_001,PO-66cd776d0f
EL_DWR_2024_001,PO-7d12fc6d3c
EL_DWR_2024_001,PO-02877861b0
EL_DWR_2024_001,PO-a9975c0033
EL_DWR_2024_001,PO-0e9fd30176
EL_DWR_2024_001,PO-8b8ffe38fb
EL_DWR_2024_001,PO-3712f8d90d
EL_DWR_2024_001,PO-e3c5c1e612
EL_DWR_2024_001,PO-013ffb09a5
EL_DWR_2024_001,PO-95031b4f2f
EL_DWR_2024_001,PO-3998c53357
EL_DWR_2024_001,PO-a499205942
EL_DWR_2024_001,PO-c9e617d33d
EL_HOL_2024_001,PO-3c63c1c4aa
EL_HOL_2024_001,PO-65044400a7
EL_HOL_2024_001,PO-f5f19bd922
EL_HOL_2024_001,PO-9b4f8cdad4
EL_HOL_2024_001,PO-3dbb70f9ba
EL_HOL_2024_001,PO-ef1f80c659
EL_HOL_2024_001,PO-5530b23242
EL_HOL_2024_001,PO-c6da36a6c2
EL_HOL_2024_001,PO-9e786962a2
EL_HOL_2024_001,PO-c9c5fadbfb
EL_HOL_2024_001,PO-dbb01ec4d3
EL_HOL_2024_001,PO-46ff06511a
EL_HOL_2024_001,PO-fe0f741551
EL_HOL_2024_001,PO-e788259e80
EL_HOL_2024_001,PO-674aeb465e
EL_HOL_2024_001,PO-053cd09fb8
EL_MD_2024_001,PO-414bbee1e0
EL_MD_2024_001,PO-e77d104c37
EL_MD_2024_001,PO-24fa63b9ce
EL_MD_2024_001,PO-ae37a25857
EL_MD_2024_001,PO-a217162ffa
EL_MD_2024_001,PO-58fa9ce9d0
EL_MD_2024_001,PO-475610b9cd
EL_MD_2024_001,PO-b23d2ad2db
EL_MD_2024_001,PO-638da45d44
EL_MD_2024_001,PO-85b66e0dfb
EL_MD_2024_001,PO-ece77fa72e
EL_MD_2024_001,PO-187eb596ca
EL_MD_2024_001,PO-8052b77ec1
EL_MD_2024_001,PO-64f55423f5
EL_SUM_2024_001,PO-944d198736
EL_SUM_2024_001,PO-757167fd23
EL_SUM_2024_001,PO-0731dc4dd2
EL_SUM_2024_001,PO-f1cc64df68
EL_SUM_2024_001,PO-4e7b41e7fc
EL_SUM_2024_001,PO-62ad51755c
EL_SUM_2024_001,PO-7d2d324ccc
EL_SUM_2024_001,PO-553d579626
EL_SUM_2024_001,PO-63bab3509e
EL_SUM_2024_001,PO-684b4d3c92
EL_SUM_2024_001,PO-7bec42b1b8
EL_SUM_2024_001,PO-f36d307d92
EL_SUM_2024_001,PO-dd4ab098e0
EL_SUM_2024_001,PO-23392f7ada
EL_SUM_2024_001,PO-8877aa2d27
EL_VOGUE_2024_001,PO-fd1b68ba75
EL_VOGUE_2024_001,PO-b1e51e7acd
EL_VOGUE_2024_001,PO-ddd1411244
EL_VOGUE_2024_001,PO-339c3e68e9
EL_VOGUE_2024_001,PO-bd7a4622bf
EL_VOGUE_2024_001,PO-1f951002a0
EL_VOGUE_2024_001,PO-b37b4c99c8
EL_VOGUE_2024_001,PO-166ed0c8e5
EL_VOGUE_2024_001,PO-d4571c3dd3
EL_VOGUE_2024_001,PO-3009fe4011
EL_VOGUE_2024_001,PO-463d5079b0
EL_VOGUE_2024_001,PO-b8d8600064
EL_VOGUE_2024_001,PO-89e0df0fc5
EL_VOGUE_2024_001,PO-9358ca1c17
EL_VOGUE_2024_001,PO-c3f6955007
NS_GG_2024_001,PO-fa8e5a9ea6
NS_GG_2024_001,PO-b7a86b8d65
NS_GG_2024_001,PO-13bd1c3759
NS_GG_2024_001,PO-f69edf4f95
NS_GG_2024_001,PO-80dafaff2a
NS_GG_2024_001,PO-d96d32c04e
NS_GG_2024_001,PO-009174a006
NS_GG_2024_001,PO-a14d9f68a7
NS_GG_2024_001,PO-a9ec8b4600
NS_MAG_2024_001,PO-73d8e0400f
NS_MAG_2024_001,PO-69cc48514b
NS_MAG_2024_001,PO-386a73491e
NS_MAG_2024_001,PO-ba99a2a83f
NS_MAG_2024_001,PO-6b32774156
NS_MAG_2024_001,PO-8a72c5b7e8
NS_MAG_2024_001,PO-7eb75c9cc8
NS_MAG_2024_001,PO-81a7adf9b0
NS_MAG_2024_001,PO-24c1754581
NS_MAG_2024_001,PO-2ba9988ab3
NS_MAG_2024_001,PO-5c439f4618
NS_NESC_2024_001,PO-e8996200a3
NS_NESC_2024_001,PO-7ecab4ff17
NS_NESC_2024_001,PO-3220ec879d
NS_NESC_2024_001,PO-cdef8b2025
NS_NESC_2024_001,PO-aae5f12a04
NS_NESC_2024_001,PO-5ec99f2c01
NS_NESC_2024_001,PO-2b28dc47b8
NS_NESC_2024_001,PO-aae3a09ea8
NS_NESC_2024_001,PO-23f14eb568
NS_NESC_2024_001,PO-a9257f821f
NS_NESC_2024_001,PO-f4d30dd8c7
NS_NESC_2024_001,PO-e97718c50c
NS_NESC_2024_001,PO-678651167c
NS_NESC_2024_001,PO-c64a4a1be2
NS_NESC_2024_001,PO-dbda58e29e
NS_NESC_2024_001,PO-371e5d7946
NS_NESC_2024_001,PO-804e393df6
NS_NESC_2024_001,PO-37f32be03a
NS_NESC_2024_001,PO-047d2f8385
NS_NESC_2024_001,PO-3aadf586b3
NS_NESC_2024_001,PO-e5d41ab3e0
NS_NESQ_2024_001,PO-bb99dff97a
NS_NESQ_2024_001,PO-87e7de225e
NS_NESQ_2024_001,PO-7b16327dec
NS_NESQ_2024_001,PO-afe5f4ccc1
NS_NESQ_2024_001,PO-c9a256361e
NS_NESQ_2024_001,PO-45f723844d
NS_NESQ_2024_001,PO-8e8407588a
NS_NESQ_2024_001,PO-3cf443b3d0
NS_NESQ_2024_001,PO-5cff5617ae
NS_NESQ_2024_001,PO-0623fa1915
NS_NESQ_2024_001,PO-a7916daf33
NS_NESQ_2024_001,PO-e8d672c914
NS_NESQ_2024_001,PO-c92d3e8869
NS_NESQ_2024_001,PO-58ac6f5407
NS_NESQ_2024_001,PO-3dd8e06f33
NS_NESQ_2024_001,PO-e382355de9
NS_NESQ_2024_001,PO-44057a9984
NS_NESQ_2024_001,PO-3b46f64421
NS_NESQ_2024_001,PO-774e16bac8
NS_FIT_2024_001,PO-04836babb5
NS_FIT_2024_001,PO-0136c5c2d9
NS_FIT_2024_001,PO-0bfa1df650
NS_FIT_2024_001,PO-4333728018
NS_FIT_2024_001,PO-93244066e3
NS_FIT_2024_001,PO-794ef13b04
NS_FIT_2024_001,PO-b31b839ef7
NS_FIT_2024_001,PO-ea39caa65e
NS_FIT_2024_001,PO-e39ce3f4ab
NS_FIT_2024_001,PO-c32d167db1
NS_FIT_2024_001,PO-f419e51013
NS_FIT_2024_001,PO-14a53bcd66
NS_FIT_2024_001,PO-871f7dfdca
NS_VIT_2024_001,PO-0c23fed2c9
NS_VIT_2024_001,PO-468b12bbea
NS_VIT_2024_001,PO-e2dfd6ca91
NS_VIT_2024_001,PO-5961e37d7b
NS_VIT_2024_001,PO-b852fd05c7
NS_VIT_2024_001,PO-e10935622a
NS_VIT_2024_001,PO-1e483c9378
NS_VIT_2024_001,PO-87ae1f1fc6
NS_VIT_2024_001,PO-7894852e50
NS_VIT_2024_001,PO-271a3dd27c
NS_VIT_2024_001,PO-2d9ea84e8d
NS_VIT_2024_001,PO-9e46ddf86b
NS_VIT_2024_001,PO-01a658065b
NS_VIT_2024_001,PO-e6ced44b9c
