invoiceNumber,po_id,amount,issue_date,due_date,paid_date,status,late_payment_flag,supplierReference,glAccount,costCenter,invoiceText,postingDate
INV-9f9e7d34,PO-01dc7131f2,876.99,2024-06-13T13:45:24,2024-09-11T13:45:24,2024-09-07T13:45:24,paid,False,2764692166977,GL-1123,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-01dc7131f2,2024-06-21 13:45:24
INV-f70fc955,PO-02877861b0,26727.7,2024-04-20T12:17:35,2024-07-19T12:17:35,2024-07-15T12:17:35,paid,False,9600896291653,GL-1162,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-02877861b0,2024-04-23 12:17:35
INV-ec5bf22b,PO-039c94fd30,13649.45,2023-09-28T20:43:20,2023-12-27T20:43:20,2023-12-26T20:43:20,paid,False,7875175764193,GL-1045,CC-126,Invoice for PO PO-039c94fd30,2023-10-04 20:43:20
INV-3178d15f,PO-039c94fd30,11743.61,2023-09-28T20:43:20,2023-12-27T20:43:20,2023-12-23T20:43:20,paid,False,1475180155922,GL-1144,CC-126,Invoice for PO PO-039c94fd30,2023-10-07 20:43:20
INV-099f4efc,PO-047d2f8385,649.84,2024-12-31T23:31:56,2025-03-31T23:31:56,,overdue,False,0385163338956,GL-1087,CC-MKT-NS_NESC_2024_001,Invoice for PO PO-047d2f8385,2025-01-04 23:31:56
INV-7981729f,PO-047d2f8385,722.67,2024-12-28T23:31:56,2025-03-28T23:31:56,2025-03-27T23:31:56,paid,False,2456374456536,GL-1120,CC-MKT-NS_NESC_2024_001,Invoice for PO PO-047d2f8385,2025-01-02 23:31:56
INV-0404352b,PO-047d2f8385,627.49,2024-12-29T23:31:56,2025-03-29T23:31:56,2025-03-14T23:31:56,paid,False,6782383587654,GL-1107,CC-MKT-NS_NESC_2024_001,Invoice for PO PO-047d2f8385,2025-01-02 23:31:56
INV-ae862a77,PO-04ddb5e917,2673.65,2024-03-19T12:20:25,2024-06-17T12:20:25,2024-06-07T12:20:25,paid,False,3367727890831,GL-1160,CC-MKT-EM_SW_2024_001,Invoice for PO PO-04ddb5e917,2024-03-20 12:20:25
INV-80be6270,PO-04ddb5e917,2297.45,2024-03-15T12:20:25,2024-06-13T12:20:25,2024-06-01T12:20:25,paid,False,0204621279436,GL-1155,CC-MKT-EM_SW_2024_001,Invoice for PO PO-04ddb5e917,2024-03-20 12:20:25
INV-8721e21c,PO-050a493a8a,4670.0,2025-01-11T03:32:09,2025-03-12T03:32:09,2025-03-08T03:32:09,paid,False,0626112447146,GL-1136,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-050a493a8a,2025-01-15 03:32:09
INV-afee9ee3,PO-0533738255,31956.7,2023-12-08T20:57:15,2024-02-06T20:57:15,,overdue,False,4761903342159,GL-1166,CC-134,Invoice for PO PO-0533738255,2023-12-15 20:57:15
INV-8c9ff6c5,PO-0533738255,35589.8,2023-12-06T20:57:15,2024-02-04T20:57:15,2024-01-26T20:57:15,paid,False,6578228168788,GL-1153,CC-134,Invoice for PO PO-0533738255,2023-12-08 20:57:15
INV-99e3a282,PO-0533738255,29830.06,2023-12-06T20:57:15,2024-02-04T20:57:15,2024-01-24T20:57:15,paid,False,0860649858659,GL-1045,CC-134,Invoice for PO PO-0533738255,2023-12-07 20:57:15
INV-4bd4106c,PO-053cd09fb8,3373.76,2024-12-02T20:50:18,2025-03-02T20:50:18,2025-02-25T20:50:18,paid,False,7521138430550,GL-1086,CC-MKT-EL_HOL_2024_001,Invoice for PO PO-053cd09fb8,2024-12-07 20:50:18
INV-0db89b24,PO-05feebaa57,2720.76,2024-12-15T20:48:02,2025-02-13T20:48:02,2025-02-21T20:48:02,paid,True,0138848468895,GL-1146,CC-118,Invoice for PO PO-05feebaa57,2024-12-24 20:48:02
INV-f09f9d7a,PO-0623fa1915,1798.87,2024-09-12T16:53:26,2024-11-11T16:53:26,2024-11-07T16:53:26,paid,False,9088940615714,GL-1134,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0623fa1915,2024-09-16 16:53:26
INV-5d0f93ea,PO-0623fa1915,2009.11,2024-09-12T16:53:26,2024-11-11T16:53:26,2024-11-09T16:53:26,paid,False,8096561352919,GL-1149,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0623fa1915,2024-09-14 16:53:26
INV-2994c705,PO-066c7e15af,2855.64,2025-10-25T20:57:02,2025-11-24T20:57:02,2025-11-09T20:57:02,paid,False,8188735112150,GL-1058,CC-165,Invoice for PO PO-066c7e15af,2025-11-01 20:57:02
INV-ab6c4ef0,PO-066c7e15af,2470.98,2025-10-24T20:57:02,2025-11-23T20:57:02,2025-11-14T20:57:02,paid,False,7255366247276,GL-1177,CC-165,Invoice for PO PO-066c7e15af,2025-11-03 20:57:02
INV-18e82bdd,PO-066c7e15af,2792.77,2025-10-25T20:57:02,2025-11-24T20:57:02,2025-11-10T20:57:02,paid,False,5545889810326,GL-1066,CC-165,Invoice for PO PO-066c7e15af,2025-11-01 20:57:02
INV-f6015510,PO-06b5d6e63f,17041.89,2024-10-07T20:40:30,2025-01-05T20:40:30,2024-12-27T20:40:30,paid,False,2604436091755,GL-1033,CC-161,Invoice for PO PO-06b5d6e63f,2024-10-11 20:40:30
INV-38ff3027,PO-06b5d6e63f,16493.26,2024-10-06T20:40:30,2025-01-04T20:40:30,2024-12-31T20:40:30,paid,False,1914567077346,GL-1065,CC-161,Invoice for PO PO-06b5d6e63f,2024-10-10 20:40:30
INV-dadb298b,PO-06b5d6e63f,19625.14,2024-10-08T20:40:30,2025-01-06T20:40:30,2025-01-04T20:40:30,paid,False,5291730944053,GL-1041,CC-161,Invoice for PO PO-06b5d6e63f,2024-10-13 20:40:30
INV-b56b6467,PO-06b8c5e5c9,17.13,2024-07-26T12:14:02,2024-09-24T12:14:02,2024-09-30T12:14:02,paid,True,3661925694117,GL-1098,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-06b8c5e5c9,2024-07-28 12:14:02
INV-9ed63693,PO-06b8c5e5c9,16.46,2024-07-28T12:14:02,2024-09-26T12:14:02,2024-09-24T12:14:02,paid,False,3954686307427,GL-1172,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-06b8c5e5c9,2024-08-04 12:14:02
INV-eb671889,PO-06b8c5e5c9,14.82,2024-07-29T12:14:02,2024-09-27T12:14:02,2024-09-13T12:14:02,paid,False,1441476048940,GL-1164,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-06b8c5e5c9,2024-08-06 12:14:02
INV-625d0b88,PO-06cf2d25b3,961.79,2024-03-22T10:09:06,2024-06-20T10:09:06,2024-06-13T10:09:06,paid,False,2239277448415,GL-1006,CC-MKT-EM_SW_2024_001,Invoice for PO PO-06cf2d25b3,2024-03-26 10:09:06
INV-0f0a0f71,PO-06cf2d25b3,843.54,2024-03-21T10:09:06,2024-06-19T10:09:06,2024-06-12T10:09:06,paid,False,2632180913795,GL-1030,CC-MKT-EM_SW_2024_001,Invoice for PO PO-06cf2d25b3,2024-03-25 10:09:06
INV-8ff2b54a,PO-06edffc37c,22248.49,2024-09-14T20:55:27,2024-12-13T20:55:27,2024-12-02T20:55:27,paid,False,0327314354378,GL-1008,CC-119,Invoice for PO PO-06edffc37c,2024-09-23 20:55:27
INV-545b12bf,PO-06edffc37c,22147.88,2024-09-12T20:55:27,2024-12-11T20:55:27,,overdue,False,0494586391230,GL-1006,CC-119,Invoice for PO PO-06edffc37c,2024-09-20 20:55:27
INV-fb4f8a4a,PO-0787f10e96,9749.75,2024-12-06T20:33:46,2025-03-06T20:33:46,2025-02-22T20:33:46,paid,False,7542982741951,GL-1108,CC-MKT-ADIDAS_BF_001,Invoice for PO PO-0787f10e96,2024-12-14 20:33:46
INV-36a15f61,PO-078ab19741,2494.18,2025-02-03T20:58:56,2025-04-04T20:58:56,2025-04-01T20:58:56,paid,False,4469741765054,GL-1200,CC-145,Invoice for PO PO-078ab19741,2025-02-12 20:58:56
INV-ef113974,PO-078ab19741,2760.54,2025-02-04T20:58:56,2025-04-05T20:58:56,2025-04-21T20:58:56,paid,True,6857736708755,GL-1120,CC-145,Invoice for PO PO-078ab19741,2025-02-05 20:58:56
INV-16797454,PO-078ab19741,2465.53,2025-02-02T20:58:56,2025-04-03T20:58:56,,overdue,False,0214108371287,GL-1184,CC-145,Invoice for PO PO-078ab19741,2025-02-03 20:58:56
INV-907249a8,PO-07ef444952,8542.97,2024-05-29T20:46:20,2024-08-27T20:46:20,2024-08-30T20:46:20,paid,True,6009560665845,GL-1080,CC-178,Invoice for PO PO-07ef444952,2024-05-30 20:46:20
INV-278797fa,PO-07ef444952,9367.05,2024-05-31T20:46:20,2024-08-29T20:46:20,2024-08-19T20:46:20,paid,False,3744412845701,GL-1013,CC-178,Invoice for PO PO-07ef444952,2024-06-07 20:46:20
INV-be065e5d,PO-0875d36b15,944.64,2024-06-01T23:25:43,2024-07-31T23:25:43,2024-07-22T23:25:43,paid,False,5781372400098,GL-1161,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-0875d36b15,2024-06-04 23:25:43
INV-e1da8acb,PO-0875d36b15,878.18,2024-06-01T23:25:43,2024-07-31T23:25:43,2024-07-28T23:25:43,paid,False,2196220008624,GL-1180,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-0875d36b15,2024-06-04 23:25:43
INV-7d0c9ecb,PO-0875d36b15,1034.15,2024-05-31T23:25:43,2024-07-30T23:25:43,2024-07-17T23:25:43,paid,False,6311733244932,GL-1003,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-0875d36b15,2024-06-08 23:25:43
INV-b710d065,PO-0ac3c8ba7e,4363.14,2024-06-02T01:29:46,2024-08-31T01:29:46,2024-08-24T01:29:46,paid,False,8936307698928,GL-1003,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-0ac3c8ba7e,2024-06-10 01:29:46
INV-b98eaa62,PO-0af55d9bdb,7899.37,2025-08-29T21:03:08,2025-09-28T21:03:08,2025-10-24T21:03:08,paid,True,0940531975777,GL-1178,CC-129,Invoice for PO PO-0af55d9bdb,2025-09-06 21:03:08
INV-d1e21629,PO-0af55d9bdb,7687.9,2025-08-28T21:03:08,2025-09-27T21:03:08,2025-09-14T21:03:08,paid,False,9783048949265,GL-1037,CC-129,Invoice for PO PO-0af55d9bdb,2025-09-04 21:03:08
INV-533ff081,PO-0af55d9bdb,8077.49,2025-08-31T21:03:08,2025-09-30T21:03:08,2025-09-15T21:03:08,paid,False,3769932184192,GL-1095,CC-129,Invoice for PO PO-0af55d9bdb,2025-09-10 21:03:08
INV-68990f48,PO-0b301ec1fe,3462.05,2024-11-21T10:54:18,2025-01-20T10:54:18,2025-01-12T10:54:18,paid,False,2251502202265,GL-1020,CC-MKT-ADIDAS_BF_001,Invoice for PO PO-0b301ec1fe,2024-11-27 10:54:18
INV-42e8f8c5,PO-0b7ef9da25,78218.86,2024-12-07T20:57:29,2025-01-06T20:57:29,2025-01-01T20:57:29,paid,False,7609192744438,GL-1079,CC-114,Invoice for PO PO-0b7ef9da25,2024-12-08 20:57:29
INV-bc4d2df8,PO-0b7ef9da25,85371.85,2024-12-06T20:57:29,2025-01-05T20:57:29,2024-12-24T20:57:29,paid,False,7897102329602,GL-1198,CC-114,Invoice for PO PO-0b7ef9da25,2024-12-09 20:57:29
INV-5a59802e,PO-0b7ef9da25,86409.29,2024-12-08T20:57:29,2025-01-07T20:57:29,2024-12-25T20:57:29,paid,False,7333795293306,GL-1078,CC-114,Invoice for PO PO-0b7ef9da25,2024-12-15 20:57:29
INV-b556380c,PO-0bfa1df650,8482.23,2024-03-08T03:22:21,2024-04-07T03:22:21,2024-04-05T03:22:21,paid,False,0396091416838,GL-1118,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-0bfa1df650,2024-03-16 03:22:21
INV-6a5ec2ae,PO-0c23fed2c9,356.74,2024-07-13T07:18:28,2024-08-12T07:18:28,2024-08-26T07:18:28,paid,True,7877486427200,GL-1178,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-0c23fed2c9,2024-07-14 07:18:28
INV-1e58bdb0,PO-0c23fed2c9,417.36,2024-07-16T07:18:28,2024-08-15T07:18:28,2024-08-09T07:18:28,paid,False,5624148067357,GL-1010,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-0c23fed2c9,2024-07-21 07:18:28
INV-1ea2404c,PO-0c5c751a82,10132.03,2025-05-19T21:03:19,2025-08-17T21:03:19,2025-08-14T21:03:19,paid,False,5627198505251,GL-1070,CC-124,Invoice for PO PO-0c5c751a82,2025-05-28 21:03:19
INV-822e468c,PO-0c5c751a82,9794.49,2025-05-20T21:03:19,2025-08-18T21:03:19,2025-08-16T21:03:19,paid,False,6140910193363,GL-1071,CC-124,Invoice for PO PO-0c5c751a82,2025-05-29 21:03:19
INV-9feac947,PO-0c5c751a82,11608.98,2025-05-20T21:03:19,2025-08-18T21:03:19,2025-08-03T21:03:19,paid,False,1591160012310,GL-1050,CC-124,Invoice for PO PO-0c5c751a82,2025-05-25 21:03:19
INV-784a6f2f,PO-0c7600bc26,17472.39,2023-03-30T20:54:14,2023-06-28T20:54:14,2023-06-15T20:54:14,paid,False,5519838618943,GL-1188,CC-163,Invoice for PO PO-0c7600bc26,2023-03-31 20:54:14
INV-50a00efb,PO-0c7600bc26,14849.89,2023-03-31T20:54:14,2023-06-29T20:54:14,2023-06-20T20:54:14,paid,False,7568973242122,GL-1004,CC-163,Invoice for PO PO-0c7600bc26,2023-04-04 20:54:14
INV-7c0c5360,PO-0cc1cbfac0,274.93,2024-11-23T18:40:25,2024-12-23T18:40:25,2024-12-12T18:40:25,paid,False,6461121427994,GL-1184,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-0cc1cbfac0,2024-11-25 18:40:25
INV-796c0d2a,PO-0cc1cbfac0,280.89,2024-11-26T18:40:25,2024-12-26T18:40:25,2024-12-21T18:40:25,paid,False,4577433203583,GL-1109,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-0cc1cbfac0,2024-12-04 18:40:25
INV-7ddb4927,PO-0cf7f2ed76,19567.97,2023-12-21T20:42:39,2024-03-20T20:42:39,2024-04-07T20:42:39,paid,True,5997456511448,GL-1058,CC-141,Invoice for PO PO-0cf7f2ed76,2023-12-29 20:42:39
INV-51befc14,PO-0db0ad6096,2337.87,2023-12-01T20:52:12,2024-02-29T20:52:12,2024-02-14T20:52:12,paid,False,2356070746699,GL-1093,CC-162,Invoice for PO PO-0db0ad6096,2023-12-05 20:52:12
INV-010d01ea,PO-0db0ad6096,2254.83,2023-11-30T20:52:12,2024-02-28T20:52:12,2024-02-27T20:52:12,paid,False,0462687908237,GL-1062,CC-162,Invoice for PO PO-0db0ad6096,2023-12-09 20:52:12
INV-c541a574,PO-0db0ad6096,2010.49,2023-12-03T20:52:12,2024-03-02T20:52:12,2024-02-17T20:52:12,paid,False,5712604851692,GL-1100,CC-162,Invoice for PO PO-0db0ad6096,2023-12-06 20:52:12
INV-bd6a1de4,PO-0de2d11e78,7611.31,2024-06-30T03:00:55,2024-09-28T03:00:55,2024-09-19T03:00:55,paid,False,3899973560089,GL-1138,CC-MKT-ADIDAS_SS_ROAS_001,Invoice for PO PO-0de2d11e78,2024-07-06 03:00:55
INV-b171f8fc,PO-0e7d377138,53277.25,2024-05-23T20:35:23,2024-08-21T20:35:23,2024-08-07T20:35:23,paid,False,2530275136640,GL-1184,CC-174,Invoice for PO PO-0e7d377138,2024-05-29 20:35:23
INV-68aae838,PO-0e9fd30176,2868.5,2024-03-18T18:10:31,2024-04-17T18:10:31,2024-04-14T18:10:31,paid,False,6074920767330,GL-1128,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-0e9fd30176,2024-03-23 18:10:31
INV-433d32ef,PO-0e9fd30176,3045.37,2024-03-17T18:10:31,2024-04-16T18:10:31,2024-04-29T18:10:31,paid,True,2210176871931,GL-1144,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-0e9fd30176,2024-03-18 18:10:31
INV-e321d9ad,PO-0e9fd30176,3365.32,2024-03-18T18:10:31,2024-04-17T18:10:31,2024-04-14T18:10:31,paid,False,1086335821472,GL-1120,CC-MKT-EL_DWR_2024_001,Invoice for PO PO-0e9fd30176,2024-03-27 18:10:31
INV-a5904e05,PO-0f57cde8ff,133.2,2025-01-19T17:12:54,2025-04-19T17:12:54,2025-04-14T17:12:54,paid,False,5129120811473,GL-1013,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-0f57cde8ff,2025-01-26 17:12:54
INV-414a1d71,PO-0fde0c483e,3564.1,2024-04-09T08:12:16,2024-05-09T08:12:16,,overdue,False,0218880029923,GL-1043,CC-MKT-EM_NGHYB_2024_001,Invoice for PO PO-0fde0c483e,2024-04-11 08:12:16
INV-6f947b7f,PO-101a87e737,2887.44,2025-01-03T21:02:20,2025-02-02T21:02:20,2025-01-26T21:02:20,paid,False,2279155273777,GL-1090,CC-159,Invoice for PO PO-101a87e737,2025-01-04 21:02:20
INV-a0ac0387,PO-101a87e737,2648.38,2025-01-05T21:02:20,2025-02-04T21:02:20,2025-01-23T21:02:20,paid,False,4536331658468,GL-1119,CC-159,Invoice for PO PO-101a87e737,2025-01-14 21:02:20
INV-cceb9523,PO-101a87e737,2839.69,2025-01-04T21:02:20,2025-02-03T21:02:20,2025-01-23T21:02:20,paid,False,0680346518836,GL-1008,CC-159,Invoice for PO PO-101a87e737,2025-01-14 21:02:20
INV-2d90e936,PO-10212f0468,1619.91,2024-11-18T22:49:32,2025-01-17T22:49:32,2025-01-08T22:49:32,paid,False,0265796760600,GL-1052,CC-MKT-EM_WSF_2024_001,Invoice for PO PO-10212f0468,2024-11-26 22:49:32
INV-9fdd9b29,PO-1058c070a7,221841.11,2024-11-16T20:53:10,2024-12-16T20:53:10,2024-12-09T20:53:10,paid,False,0916948454297,GL-1083,CC-129,Invoice for PO PO-1058c070a7,2024-11-19 20:53:10
INV-1afdbce6,PO-111f794418,205.33,2024-05-25T07:30:00,2024-07-24T07:30:00,2024-07-11T07:30:00,paid,False,8172549528283,GL-1059,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-111f794418,2024-05-26 07:30:00
INV-cae01f8d,PO-111f794418,190.96,2024-05-26T07:30:00,2024-07-25T07:30:00,2024-08-18T07:30:00,paid,True,0369750446682,GL-1114,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-111f794418,2024-06-05 07:30:00
INV-6d3c5e9b,PO-111f794418,164.27,2024-05-26T07:30:00,2024-07-25T07:30:00,2024-07-17T07:30:00,paid,False,4393592013180,GL-1057,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-111f794418,2024-05-30 07:30:00
INV-5239fb80,PO-1182f9329e,771.09,2024-10-15T22:32:07,2025-01-13T22:32:07,2025-01-07T22:32:07,paid,False,3846907364725,GL-1193,CC-MKT-EL_AUT_2024_001,Invoice for PO PO-1182f9329e,2024-10-22 22:32:07
INV-1e0dcad1,PO-1182f9329e,796.5,2024-10-16T22:32:07,2025-01-14T22:32:07,2025-01-11T22:32:07,paid,False,8584697053447,GL-1107,CC-MKT-EL_AUT_2024_001,Invoice for PO PO-1182f9329e,2024-10-18 22:32:07
INV-a219c4a3,PO-1182f9329e,945.43,2024-10-16T22:32:07,2025-01-14T22:32:07,,overdue,False,9683788505731,GL-1053,CC-MKT-EL_AUT_2024_001,Invoice for PO PO-1182f9329e,2024-10-18 22:32:07
INV-299290c4,PO-11ab3456ba,7735.73,2023-12-08T21:04:19,2024-02-06T21:04:19,2024-02-04T21:04:19,paid,False,6229613788578,GL-1002,CC-139,Invoice for PO PO-11ab3456ba,2023-12-13 21:04:19
INV-15f0af39,PO-11ab3456ba,7286.72,2023-12-10T21:04:19,2024-02-08T21:04:19,2024-02-09T21:04:19,paid,True,1427474128891,GL-1021,CC-139,Invoice for PO PO-11ab3456ba,2023-12-19 21:04:19
INV-30c84335,PO-11ab3456ba,8455.72,2023-12-11T21:04:19,2024-02-09T21:04:19,2024-03-04T21:04:19,paid,True,2332167954055,GL-1035,CC-139,Invoice for PO PO-11ab3456ba,2023-12-20 21:04:19
INV-4c80c89c,PO-127b87fb6e,568.7,2024-12-08T19:12:43,2025-02-06T19:12:43,2025-01-26T19:12:43,paid,False,6167687719800,GL-1065,CC-MKT-ADIDAS_BF_001,Invoice for PO PO-127b87fb6e,2024-12-15 19:12:43
INV-b9af739d,PO-127b87fb6e,624.3,2024-12-06T19:12:43,2025-02-04T19:12:43,2025-01-31T19:12:43,paid,False,0702784141572,GL-1117,CC-MKT-ADIDAS_BF_001,Invoice for PO PO-127b87fb6e,2024-12-14 19:12:43
INV-e649b1c9,PO-127b87fb6e,548.58,2024-12-07T19:12:43,2025-02-05T19:12:43,2025-02-03T19:12:43,paid,False,0500651501913,GL-1100,CC-MKT-ADIDAS_BF_001,Invoice for PO PO-127b87fb6e,2024-12-09 19:12:43
INV-c466a122,PO-1377ba48c3,6607.01,2023-03-25T20:40:28,2023-04-24T20:40:28,2023-04-19T20:40:28,paid,False,6470876918534,GL-1024,CC-171,Invoice for PO PO-1377ba48c3,2023-04-04 20:40:28
INV-e9ec88da,PO-13bd1c3759,2717.72,2024-04-06T08:31:29,2024-05-06T08:31:29,2024-04-30T08:31:29,paid,False,1973616651883,GL-1046,CC-MKT-NS_GG_2024_001,Invoice for PO PO-13bd1c3759,2024-04-15 08:31:29
INV-ca0b124b,PO-1471ef0ebc,16751.24,2024-03-24T20:34:09,2024-04-23T20:34:09,2024-04-14T20:34:09,paid,False,9916546801890,GL-1180,CC-175,Invoice for PO PO-1471ef0ebc,2024-04-02 20:34:09
INV-113492d4,PO-1471ef0ebc,16772.15,2024-03-24T20:34:09,2024-04-23T20:34:09,2024-04-16T20:34:09,paid,False,2636117467979,GL-1187,CC-175,Invoice for PO PO-1471ef0ebc,2024-03-26 20:34:09
INV-b0b12873,PO-1471ef0ebc,15099.34,2024-03-27T20:34:09,2024-04-26T20:34:09,2024-05-26T20:34:09,paid,True,0060464965031,GL-1005,CC-175,Invoice for PO PO-1471ef0ebc,2024-04-01 20:34:09
INV-70e83f6f,PO-14a53bcd66,1324.75,2024-02-06T04:38:29,2024-05-06T04:38:29,2024-04-27T04:38:29,paid,False,7364779159363,GL-1199,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-14a53bcd66,2024-02-15 04:38:29
INV-00e9b227,PO-14a53bcd66,1321.4,2024-02-09T04:38:29,2024-05-09T04:38:29,2024-05-08T04:38:29,paid,False,2867597443942,GL-1100,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-14a53bcd66,2024-02-10 04:38:29
INV-ad9b50ec,PO-14a53bcd66,991.26,2024-02-06T04:38:29,2024-05-06T04:38:29,2024-05-01T04:38:29,paid,False,4720567468513,GL-1045,CC-MKT-NS_FIT_2024_001,Invoice for PO PO-14a53bcd66,2024-02-10 04:38:29
INV-7ad90dd4,PO-15179b3b68,50331.62,2023-11-25T20:44:59,2023-12-25T20:44:59,2023-12-17T20:44:59,paid,False,7895053541593,GL-1082,CC-112,Invoice for PO PO-15179b3b68,2023-12-05 20:44:59
