vendorCode,legalName,category_L1,category_L2,category_L3,category_L4,address,country,contactPerson,isActive,financialHealth,paymentTerms,masterContractId,lastAnnualRevenue,riskScore
SUP-8735e86b,Arabian Air Solutions,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,"17530 آل سلطان Mountain الحكيرmouth, WA 89522",Saudi Arabia,Ali Ahmed Al-Mansoor,False,Low,Net 60,CTR-0a1289e9d6,0.0,30.0
SUP-08754e73,Miete GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,Knappeplatz 5-1 66837 Grimmen,Germany,Anna Müller,True,Medium,Net 30,CTR-e33fb4250f,10584.7,25.0
SUP-b5bcb8d1,Slovenian Bags and Wrappers Supply,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers",Kleparska steza 41 1181 Črnomelj,Slovenia,Marko Novak,True,Medium,Net 30,CTR-5134822e75,0.0,10.0
SUP-c517229f,EcoSustain Solutions Sp. z o.o.,Indirect Services and Materials,Corporate & Professional Services,Consulting,Environmental & Sustainability Consulting,ul. Wiejska 562 32-083 Wrocław,Poland,Anna Kowalska,True,Medium,Net 60,CTR-9dd01c50d8,20420.65,10.0
SUP-b8f125af,Tempomat GmbH,Indirect Services and Materials,Facility Services,Facility Management,Building Maintenance & HVAC,Gerdi-Holzapfel-Weg 8 46124 Stadtroda,Germany,Anna Schmidt,True,Low,Net 90,CTR-01ae458e82,0.0,15.0
SUP-d717ae8d,SicherTech Alarm Systeme GmbH,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring,Keudelring 32 02227 Roding,Germany,Anna Müller,True,Medium,Net 90,CTR-aeea817cdb,128799.29000000001,25.0
SUP-a1bedd85,DataVision Analytics GmbH,Indirect Services and Materials,IT & Technology,Software,"Business Intelligence & Analytics (BI, Data Visualization)",Bianka-Stahr-Straße 49 52606 Wetzlar,Germany,Anna Müller,True,Medium,Net 90,CTR-503094b90c,0.0,25.0
SUP-8883d270,GAR-MISSION Express Service GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,Parcel & Courier Services,Textorstraße 26 38941 Garmisch-Partenkirchen,Germany,Anna Müller,True,Medium,Net 30,CTR-5244a86833,0.0,25.0
SUP-bf8e18d3,ErbisDesign Office Solutions,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,Flora-Hölzenbecher-Allee 93/91 69599 Erbisdorf,Germany,Thomas Müller,True,Low,Net 60,,0.0,15.0
SUP-d58d76e9,TechDesign Engineering GmbH,Indirect Services and Materials,IT & Technology,Software,"Engineering & Design (CAD, PLM)",Klaus Dieter-Losekann-Weg 6/1 94296 Parchim,Germany,Anna Müller,True,Medium,Net 30,CTR-e3e1ecb471,674.05,25.0
SUP-09c0052e,Lithuania Print Solutions,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services,"2671 Nedas Manors Lake Matas, LA 93184",Lithuania,Jurgita Karpavičienė,True,Medium,Net 90,CTR-d991278a4f,0.0,10.0
SUP-b8d69ad2,Austrian Competitive Insights GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,Competitor Intelligence Services,Maryam-Farkas-Weg 8/2 7962 Retz,Austria,Maryam Farkas,True,Low,Net 60,,3922.88,0.0
SUP-80fc86f7,IP Solutions GmbH,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Intellectual Property & Patents,Betti-Bonbach-Gasse 23 82660 Säckingen,Germany,Max Mustermann,True,Low,Net 90,CTR-37e92dba79,0.0,15.0
SUP-73344c24,LITIGATION ADVOCATES GMBH,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Litigation & Dispute Resolution,Wohlgemutstr. 69-64 16657 Aachen,Germany,Dr. Anna Schneider,True,Medium,Net 90,CTR-b22047a20c,20238.9,25.0
SUP-fba2137f,SecureNet Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cybersecurity Services (Pen Testing, Monitoring, SOC)",Stahrgasse 6/5 34779 Mayen,Germany,Anna Schneider,True,Low,Net 90,,208705.32,15.0
SUP-1f99c621,StrategieWorks GmbH,Indirect Services and Materials,Corporate & Professional Services,Consulting,Management & Strategy Consulting,Weimerweg 63/92 86059 Niesky,Germany,Anna Müller,True,Medium,Net 60,CTR-017f6078d6,9737.86,25.0
SUP-6cf2772d,Meißen Catering Solutions GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Catering & Vending Services,Jan-Bender-Ring 7-7 20029 Meißen,Germany,Anna Müller,True,Medium,Net 90,CTR-a564fdaedd,104708.22,25.0
SUP-435a0013,Global Logistics Solutions Inc.,Indirect Services and Materials,Logistics,Transportation & Freight,Freight Forwarding & Customs Brokerage,"799 Evans Mountain Suite 237 Jeremyberg, QC A9J 2V5",Canada,Jane Smith,True,High,Net 30,CTR-8dfdb1c5fc,0.0,25.0
SUP-f51627c3,Data Insights Analytics GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,"Data, Surveys & Analysis",Louise-Weinhage-Gasse 78-57 70227 Kassel,Germany,Anna Müller,True,Low,Net 60,,289617.35,15.0
SUP-5375dc2f,Gregoryhaven Property Leasing Solutions,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,"3388 Lisa Fords Suite 391 North Gregoryhaven, SD 36355",United States,Emily Johnson,True,Medium,Net 60,CTR-e92a9d988e,0.0,10.0
SUP-6ff67a14,TrainingPro Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training,Leopoldine-Lange-Weg 155 96090 Lübben,Germany,Anna Müller,True,Low,Net 60,,170120.41,15.0
SUP-cde86854,NetzwerkLösungen GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Networking (Routers, Switches, Firewalls)",Putzstraße 4-9 35982 Sulzbach-Rosenberg,Germany,Thomas Müller,True,Low,Net 30,,96048.76,15.0
SUP-d600d2a7,GuardForce International GmbH,Indirect Services and Materials,Facility Services,Security Services,Manned Guarding,Kostolzinallee 5/3 61020 Wittstock,Germany,Anna Müller,True,Low,Net 30,,122039.19,15.0
SUP-82e08eba,EcoSolutions Consultants,Indirect Services and Materials,Corporate & Professional Services,Consulting,Environmental & Sustainability Consulting,chemin de Roux 65953 Saint Susanne,France,Jean Dubois,True,Low,Net 30,CTR-9446c9b0b2,55788.92,0.0
SUP-396d7de2,OptiSpec Analytik GmbH,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)",Wielochstr. 128 46786 Dieburg,Germany,Anna Müller,True,Medium,Net 60,CTR-71ee57541b,0.0,25.0
SUP-b0a538a5,TechInsight HR Solutions GmbH,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,HR Consulting & Technology,Lilo-Adler-Gasse 4406 20350 Wertingen,Germany,Anna Müller,True,Medium,Net 60,CTR-3f3de7bc50,751.39,25.0
SUP-baae5b79,TechOnDemand GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Mobile Devices (Tablets, Smartphones, Accessories)",Döringweg 55 19169 Diepholz,Germany,Anna Müller,True,Medium,Net 60,CTR-8a4e844dc4,0.0,25.0
SUP-20466636,Mediengeschäft Eilenburg GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Media Buying (Print, Broadcast, Digital)",Mangoldplatz 6630 01563 Eilenburg,Germany,Anna Schmidt,True,Medium,Net 60,CTR-3e51efe7df,19960.08,25.0
SUP-98d3b70f,GreenPower Solutions Inc.,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,"Block 17 Lot 07 Long Drive, Aries Homes, Kapangan, 8542 Surigao del Sur",Philippines,Maria Elena Santos,True,Low,Net 60,CTR-2de07640f9,0.0,15.0
SUP-42f4351e,Austrian Insights Brand Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,Brand Tracking & Analytics,Reicherweg 59 4839 Mank,Austria,Anna Müller,True,Low,Net 90,,148057.39,0.0
SUP-519355db,HR Tech Solutions GmbH,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,HR Consulting & Technology,Eigenwilligweg 120 65532 Seelow,Germany,Anna Müller,True,Low,Net 60,CTR-b81b54a761,4978.82,15.0
SUP-f4975a2b,MediaSphere PR Solutions,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Public Relations (PR) Firms,Neuschäferring 1 53076 Niesky,Germany,Anna Müller,True,Medium,Net 90,,10497.1,25.0
SUP-2f71236b,Rosenheimer Energiedienstleistungen GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,"Utilities (Gas, Electricity, Water)",Kunigunde-Weinhold-Ring 3/8 80042 Rosenheim,Germany,Kunigunde Weber,True,Low,Net 90,CTR-3f5af993a0,0.0,15.0
SUP-45fc20a2,TechGuru Mobile Solutions,Indirect Services and Materials,IT & Technology,Hardware,"Mobile Devices (Tablets, Smartphones, Accessories)",Kadeplatz 33 02909 Pirmasens,Germany,Eva Schneider,True,Low,Net 30,,0.0,15.0
SUP-89c2e422,Analytica Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Market Research,"Data, Surveys & Analysis",Etta-Schmiedecke-Platz 6609 88228 Darmstadt,Germany,Anna Müller,True,Low,Net 90,CTR-8cefc08b7e,67764.0,15.0
SUP-16ee759a,Express Road Logistics GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,"Road Freight (FTL, LTL)",Stella-Hölzenbecher-Platz 4914 62128 Holzminden,Germany,Anna Schmidt,True,Medium,Net 30,CTR-ce5a04f609,0.0,25.0
SUP-692e726e,TeleCom Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Telecommunications (Mobile, Fixed Line, Internet)",Börnerweg 2/1 99698 Mühlhausen,Germany,Hans Müller,True,Low,Net 90,CTR-25e61046a6,21049.07,15.0
SUP-7d485338,SecureShield Consulting & Risk Mitigation Experts,Indirect Services and Materials,Facility Services,Security Services,Security Consulting & Risk Assessment,Mraziarenská 757 991 13 Osrblie,Slovakia,Anna Kovacs,True,Low,Net 90,CTR-06db950133,0.0,0.0
SUP-5821be90,Fröhlich,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases",Anika-Pohl-Straße 5165 73485 Bad Liebenwerda,Germany,Anna Müller,True,Low,Net 30,CTR-39e61fc831,346657.9,40.0
SUP-1db96fe0,Mitteldeutsche Sponsorplattform GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Sponsorships & Partnerships,Benedikt-Eckbauer-Platz 97/71 40699 Grimmen,Germany,Anna Müller,True,Low,Net 90,CTR-b767939159,29730.28,15.0
SUP-df5bdd17,Dinamo Pallets & Crates,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Pallets & Crates,Tkalčićeva 4b/8 78938 Novi Vinodolski,Croatia,Marko Petrović,True,Low,Net 60,CTR-cd6af7ff61,64278.44,0.0
SUP-f964762b,EuroMetals Deutschland GmbH,Direct Materials,Raw Materials,Metals & Minerals,"Ferrous Metals (Steel, Iron)",Valeri-Loos-Allee 7500 94534 Kusel,Germany,Anna Müller,True,Low,Net 30,,0.0,15.0
SUP-7ccf6f76,SecureGuard Solutions GmbH,Indirect Services and Materials,IT & Technology,Software,Security & Compliance Software,Ruststr. 6827 45744 Altentreptow,Germany,Anna Becker,True,Low,Net 60,,6948.25,15.0
SUP-951bb191,ElectroTech Components Rom,Direct Materials,Components & Sub-Assemblies,Electronic Components,"Passive Components (Resistors, Capacitors)","Bulevardul Alexandrina Ene Nr. 62 Techirghiol, 622204",Romania,Ana Maria Popescu,True,Low,Net 60,CTR-262164a97f,2720.76,0.0
SUP-2bf1a48b,SmartFleet Solutions Ltd,Indirect Services and Materials,Logistics,Fleet Management,Telematics & Fleet Tracking,7 Ryan vista Mohammadmouth M6 7NR,United Kingdom,Emily Thompson,True,Low,Net 30,CTR-00e2d2e27a,37944.0,0.0
SUP-46027d2b,Bulgarian Peripherals & Accessories Ltd.,Indirect Services and Materials,IT & Technology,Hardware,"Peripherals & Accessories (Printers, Keyboards)","6576 Чуков Land Лекоside, TN 77993",Bulgaria,Ivan Petrov,True,Low,Net 60,CTR-4cdde515a5,0.0,0.0
SUP-051da8d0,Estonian Event Solutions,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Event Management & Production,"639 Svetlana Roads West Marekville, CT 29855",Estonia,Anna Kivirükk,True,Medium,Net 90,CTR-c22b0819b3,22188.64,10.0
SUP-aa7b0b18,Atelier Métaux Avancés,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes,"15, chemin Brunel 19150 Goncalves-les-Bains",France,Claude Moreau,True,Low,Net 90,CTR-8b1a448752,123891.19,0.0
SUP-669dd407,HR Tech Solutions Greece,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,HR Consulting & Technology,"Νεοκαισαρείας 196-166, ΤΚ 724 57 Θεσσαλονίκη",Greece,John Smith,True,Medium,Net 60,CTR-122cd8c7da,0.0,10.0
SUP-f7a95f70,AutoCare Romania,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Maintenance & Repair,"Intrarea Stoica Nr. 845 Bl. 49  Sc. 78 Ap. 559 Mihail Kogalniceanu, 561392",Romania,Maria Ionita,True,High,Net 30,CTR-ed6e10ffdc,0.0,25.0
SUP-5005b635,ReciclaSoluções Ltda.,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling,"Quadra João Lucas Moreira, 638 Vila Da Paz 10170-892 Pinto / MT",Brazil,Ana Carolina Silva,True,Low,Net 90,CTR-54c98c43d9,256422.58,15.0
SUP-da38657e,TechAccess Supplies GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Peripherals & Accessories (Printers, Keyboards)",Sontagallee 83-34 45862 Ueckermünde,Germany,Anna Müller,True,Low,Net 90,CTR-2dec1162fe,0.0,15.0
SUP-58631426,DataVision Solutions Ltd.,Indirect Services and Materials,IT & Technology,Software,"Business Intelligence & Analytics (BI, Data Visualization)","03841 Алег Hollow Китоside, NV 65894",Bulgaria,Sofia Petrova,True,Medium,Net 30,,93567.69,10.0
SUP-e8fe7738,GuardSafe GmbH,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear,Isabell-Pieper-Platz 69/82 34646 Melle,Germany,Anna Schmidt,True,Low,Net 60,CTR-571c8ffcfb,337537.7,15.0
SUP-3bb3c1bb,SecurePay Solutions Inc.,Indirect Services and Materials,Corporate & Professional Services,Financial Services,Payment Processing,"8798 Francisco Tunnel West Christineburgh, NB B7V 9M7",Canada,Emily Johnson,False,Low,Net 30,CTR-4059f63271,17930.34,0.0
SUP-f4ad8556,Kai-Uwe Films & Sheeting GmbH,Direct Materials,Raw Materials,Plastics & Polymers,Films & Sheeting,Kai-Uwe-Ladeck-Straße 97-47 11912 Plauen,Germany,Max Mustermann,True,Medium,Net 60,CTR-93ba5d3419,0.0,25.0
SUP-6506a597,ElectroTech Semiconductors SAS,Direct Materials,Components & Sub-Assemblies,Electronic Components,Semiconductors & Integrated Circuits,"51, rue Ferrand 16473 Bonneaunec",France,Jean Dupont,True,Low,Net 30,CTR-431115a656,0.0,0.0
SUP-187c2f8b,AutoCare Services Croatia d.d.,Indirect Services and Materials,Logistics,Fleet Management,Vehicle Maintenance & Repair,Krležin gvozd 3a/4 36789 Ivanić-Grad,Croatia,Jane Doe,True,Low,Net 90,,46303.45,0.0
SUP-3af6939b,ElectroTech Deutschland GmbH,Direct Materials,Components & Sub-Assemblies,Electronic Components,Printed Circuit Boards (PCBs),Jäkelweg 3/6 04044 Torgau,Germany,Anna Müller,True,Low,Net 30,CTR-e5fc7a3874,0.0,15.0
SUP-ec71f0ae,Croatian Road Freight Solutions,Indirect Services and Materials,Logistics,Transportation & Freight,"Road Freight (FTL, LTL)",Voćarska 8a 75405 Vodnjan,Croatia,Marko Petrovic,True,Low,Net 30,CTR-7b5b14e0f6,13984.94,0.0
SUP-8f130e29,Training Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training,Eva-Marie-Noack-Allee 1-4 20326 Hoyerswerda,Germany,Marta Weber,True,Low,Net 90,CTR-33bf34d76a,72126.69,15.0
SUP-eb203557,SecureGuard Solutions Ltd.,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring,"0884 Povilonis Divide Ginzburgasshire, NY 87719",Lithuania,Johnathan E. Hargrove,True,High,Net 30,CTR-904f71a375,250000.0,25.0
SUP-50eadbca,SecureTech Consulting GmbH,Indirect Services and Materials,Facility Services,Security Services,Security Consulting & Risk Assessment,Birgitta-Schuster-Platz 2-4 17749 Leipziger Land,Germany,Birgitta Schuster,True,Low,Net 90,CTR-f26e5c6e63,32030.73,15.0
SUP-590039c3,SupplyLogistics GmbH,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage,Riehlweg 7-6 34919 Starnberg,Germany,Anna Müller,True,Low,Net 30,CTR-b25a0ad57a,87183.67,15.0
SUP-981b6fb2,Catering Solutions GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Catering & Vending Services,Kornelius-Hermighausen-Ring 1112 62485 Zerbst,Germany,Anna Müller,False,Medium,Net 90,CTR-813dc3cbc4,13337.73,25.0
SUP-d6a22ad4,WellnessCare Solutions Inc.,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Employee Welfare & Assistance Programs,"26255 Brandon Hill North Alicia, WV 74200",United States,Johnathan M. Wallace,True,Medium,Net 30,CTR-a26c4fe44f,21316.16,10.0
SUP-e6df0b9c,Lithuania Clean Solutions,Indirect Services and Materials,Facility Services,Facility Management,Janitorial & Cleaning Services,"08076 Joris Parks North Dovydasside, KS 35840",Lithuania,András Kovács,True,Medium,Net 60,CTR-f0e2bad55d,5494.8,10.0
SUP-c7fde181,Immobilien Miete GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,Kadegasse 19/26 12226 Sondershausen,Germany,Anna Schmidt,True,Medium,Net 30,,0.0,25.0
SUP-f3a44fe3,Mediabuyer GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,"Media Buying (Print, Broadcast, Digital)",Weißstraße 6 54462 Neustrelitz,Germany,Anna Müller,False,Low,Net 90,CTR-bebb1abe19,64451.89,15.0
SUP-151393d1,Latvian CleanTech Solutions,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies,"794 Kļaviņa Ways Alksnestad, DE 33690",Latvia,Anna Ratajczuk,False,Low,Net 30,CTR-5e9a1c9353,11922.060000000001,25.0
SUP-39e3c114,GreenSpace Landscaping,Indirect Services and Materials,Facility Services,Facility Management,Landscaping & Groundskeeping,Moravanů 6 274 52 Zákupy,Czech Republic,Jana Novak,True,Low,Net 90,CTR-56fdbec43f,136043.07,0.0
SUP-4f088eae,LubroTech Polska,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases",plac Lisia 19/30 34-941 Kościan,Poland,Anna Kowalska,True,Low,Net 90,CTR-75277784dd,0.0,0.0
SUP-3d2ac9b9,GreenCycle GmbH,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Waste Management & Recycling,Ladeckweg 387 47033 Mühlhausen,Germany,Anna Müller,True,Low,Net 90,,0.0,15.0
SUP-fdba5ddb,SecureGuardian Access Systems GmbH,Indirect Services and Materials,Facility Services,Security Services,Access Control Systems,Annita-Drubin-Platz 6639 92673 Büsingen am Hochrhein,Germany,Anna Müller,True,Medium,Net 30,CTR-28173c7580,514144.32,25.0
SUP-6d854a01,SecureGuard Portugal,Indirect Services and Materials,Facility Services,Security Services,Alarm Systems & Monitoring,"Rua de Sá, 32 7724-209 Tavira",Portugal,Ana Silva,True,Medium,Net 30,CTR-e36888a482,8742.96,10.0
SUP-754d139a,SecureNet Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,"Cybersecurity Services (Pen Testing, Monitoring, SOC)",Michel-Austermühle-Ring 7-5 38412 Schleiz,Germany,Anna Müller,True,Low,Net 30,,195839.02,15.0
SUP-bee0e0ee,Bundespost Parcel Express GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,Parcel & Courier Services,Häringweg 8-1 75175 Parsberg,Germany,Anna Müller,True,Low,Net 90,CTR-1f68166ffb,0.0,15.0
SUP-e5abfbe7,Stacey Stationery Solutions Ltd,Indirect Services and Materials,Facility Services,Office Supplies & Services,Stationery & Consumables,7 Julia vista Port Stacey CH4E 9RF,United Kingdom,Emma Thompson,True,Low,Net 60,CTR-f4ed53dfb4,0.0,0.0
SUP-50d93a9f,Alte Böschung GmbH,Direct Materials,Packaging Materials,Primary Packaging,"Bottles, Jars & Cans",Evelyne-Kruschwitz-Allee 5 71888 Griesbach Rottal,Germany,Evelyn Kruschewski,True,Medium,Net 60,CTR-c49e156ea0,0.0,50.0
SUP-de1595ef,Druck- und Kopiiergeberschaft GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Print & Copy Services,Sylvie-Tröst-Gasse 59/37 05690 Schwabmünchen,Germany,Sylvia Schneider,True,Low,Net 30,CTR-b160853401,0.0,15.0
SUP-16b7daaf,GreenPower Solutions A/S,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Energy Management & Sustainability Services,Fanøvej 57 8179 Tommerup,Denmark,Sara Jensen,True,Low,Net 90,CTR-410a7e1c48,0.0,0.0
SUP-a6bf43b5,Global Sponsorship Solutions GmbH,Indirect Services and Materials,Marketing & Sales,Marketing & Advertising,Sponsorships & Partnerships,Hesseallee 86-99 89094 Bremervörde,Germany,Anna Müller,False,Low,Net 60,,13525.19,15.0
SUP-f96d9e2a,HumanTech Solutions,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,HR Consulting & Technology,92 Milne Street X981KPF Amy-Leigh Ville,Ireland,Amy-Leigh Ville,True,Low,Net 30,CTR-be00d1a7bf,0.0,0.0
SUP-dc7200b3,Verkaufskompetenz GmbH,Indirect Services and Materials,Marketing & Sales,Sales Support,Sales Training,Krauseplatz 3-3 73355 Bautzen,Germany,Anna Müller,True,Medium,Net 60,CTR-251fad61cd,63895.44,25.0
SUP-31a543b4,LogiTech Express GmbH,Indirect Services and Materials,Logistics,Transportation & Freight,Parcel & Courier Services,Friedrich-Kambs-Straße 19 67544 Bad Kissingen,Germany,Anna Müller,True,Low,Net 30,CTR-3800b0b87c,0.0,15.0
SUP-5d66c8e8,Office Comfort Solutions,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,"3968 Зафер Gardens Apt. 068 North Гергинville, WI 53599",Bulgaria,John Michael Thompson,True,Low,Net 90,,0.0,0.0
SUP-999a4c8a,IP Solutions Ltd.,Indirect Services and Materials,Corporate & Professional Services,Legal Services,Intellectual Property & Patents,"165 Pukk Views Suite 269 Tarmotown, KY 49420",Estonia,Aivar Säde,False,Low,Net 60,,0.0,0.0
SUP-6e954ce0,TechNova Mobile Solutions GmbH,Indirect Services and Materials,IT & Technology,Hardware,"Mobile Devices (Tablets, Smartphones, Accessories)",Reimer-Pechel-Straße 83 97023 Weißwasser,Germany,Anna Müller,True,Medium,Net 30,CTR-0ffb0d71c5,0.0,25.0
SUP-5ea4afd1,TechNova Solutions,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation,Bajkalská 5 954 57 Osturňa,Slovakia,Anna Novak,True,High,Net 30,CTR-68781f4885,221841.11,25.0
SUP-0ad78723,TechFuture Solutions GmbH,Indirect Services and Materials,IT & Technology,IT Services & Telecom,IT Consulting & Implementation,Friederike-Franke-Platz 5/2 74586 Goslar,Germany,Friederike Schmidt,True,Low,Net 90,CTR-893cb489f4,0.0,15.0
SUP-09f7154e,Ormož Energy Solutions,Indirect Services and Materials,Facility Services,Real Estate & Utilities,"Utilities (Gas, Electricity, Water)",Park Arturo Toscanini 96 9862 Ormož,Slovenia,Anna Kovacs,True,Low,Net 60,CTR-733f4fdd40,0.0,0.0
SUP-b52b8a53,Equipo Alquileres y Vivienda,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent,"Carrera 38 # 7-39 154973 Paya, Boyacá",Colombia,Carlos Mendoza Rivera,True,High,Net 60,CTR-adabf077f9,0.0,40.0
SUP-3b8ec792,SecureGuardia Consulting,Indirect Services and Materials,Facility Services,Security Services,Security Consulting & Risk Assessment,"Strada Mugurel Tomescu Sancraiu de Mures, 215548",Romania,Alexander Ivanov,True,Medium,Net 60,CTR-0f5624a51f,0.0,10.0
SUP-c296383d,SofaMasters Deutschland GmbH,Indirect Services and Materials,Facility Services,Office Supplies & Services,Office Furniture & Fixtures,Steckelweg 73-93 80283 Recklinghausen,Germany,Anna Müller,True,Medium,Net 90,CTR-1dfe6e7e0d,0.0,25.0
