riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-8e1e2792,SUP-b5b28536,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-b5b28536 is 10.,Monitor supplier's financial statements regularly to identify any signs of deteriorating creditworthiness or liquidity issues.,Active
RISK-0698536a,SUP-b5b28536,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b5b28536 is 0.,Implement robust financial monitoring systems to promptly identify any significant changes in spend concentration risks.,Active
RISK-94d12c32,SUP-d1ed6096,Country Risk,15.0,Country Risk for supplier SUP-d1ed6096 is 15.,Conduct regular country risk assessments to ensure compliance and mitigate the high score of 15.,Active
RISK-8623bc3e,SUP-d1ed6096,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d1ed6096 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-be23908e,SUP-d1ed6096,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-d1ed6096 is 0.,Conduct quarterly financial health assessments and diversify supplier base to mitigate financial health risks.,Active
RISK-5e698a69,SUP-d1ed6096,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d1ed6096 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-a54d0df6,SUP-f4e1cb87,Country Risk,15.0,Country Risk for supplier SUP-f4e1cb87 is 15.,Enhance country-specific compliance monitoring to mitigate the 15/20 country risk score.,Active
RISK-d440957d,SUP-f4e1cb87,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f4e1cb87 is 0.,Diversify suppliers to reduce dependency on single sources and enhance supply chain resilience.,Active
RISK-f5a1e356,SUP-f4e1cb87,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f4e1cb87 is 0.,Conduct regular financial health assessments and maintain open communication channels to promptly address any signs of declining financial stability.,Active
RISK-8be51ef8,SUP-f4e1cb87,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f4e1cb87 is 0.,Develop a contingency plan.,Active
RISK-0c2d2b6b,SUP-8735e86b,Country Risk,30.0,Country Risk for supplier SUP-8735e86b is 30.,Conduct thorough due diligence on the local business environment and political climate in the country to assess potential risks and develop contingency strategies accordingly.,Active
RISK-98d7413e,SUP-8735e86b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8735e86b is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-97fce765,SUP-8735e86b,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-8735e86b is 0.,Conduct quarterly financial health reviews and maintain contingency plans for potential liquidity issues.,Active
RISK-1c3df635,SUP-8735e86b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8735e86b is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-8f61aa62,SUP-08754e73,Country Risk,15.0,Country Risk for supplier SUP-08754e73 is 15.,Conduct regular country risk assessments and diversify suppliers to reduce dependency on high-risk countries.,Active
RISK-a212bcbe,SUP-08754e73,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-08754e73 is 0.,Develop a contingency plan.,Active
RISK-1cebc0f4,SUP-08754e73,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-08754e73 is 10.,Enhance financial health monitoring by implementing real-time credit checks and diversifying supplier base to mitigate high-risk suppliers scoring above 8.,Active
RISK-13eb941a,SUP-08754e73,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-08754e73 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-3435a570,SUP-b5bcb8d1,Country Risk,0.0,Country Risk for supplier SUP-b5bcb8d1 is 0.,Conduct thorough due diligence on suppliers operating in regions with low country risk scores to ensure robust compliance and governance practices.,Active
RISK-8400da2d,SUP-b5bcb8d1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b5bcb8d1 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-812c1ee2,SUP-b5bcb8d1,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-b5bcb8d1 is 10.,Conduct thorough financial health assessments and diversify supply chain to reduce exposure.,Active
RISK-5f20bf7d,SUP-b5bcb8d1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b5bcb8d1 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-3c89bb91,SUP-c517229f,Country Risk,0.0,Country Risk for supplier SUP-c517229f is 0.,Enhance local compliance monitoring to mitigate country risks associated with suppliers in countries scoring below 50.,Active
RISK-a4fda036,SUP-c517229f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c517229f is 0.,Develop a contingency plan.,Active
RISK-d9b5ead7,SUP-c517229f,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-c517229f is 10.,Conduct quarterly financial health assessments on the supplier to ensure strong credit ratings and liquidity.,Active
RISK-040b54ad,SUP-c517229f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c517229f is 0.,Implement diversified sourcing strategies to reduce spend concentration risks.,Active
RISK-fbe66358,SUP-b8f125af,Country Risk,15.0,Country Risk for supplier SUP-b8f125af is 15.,Conduct thorough due diligence on suppliers in high-risk countries to ensure compliance with ethical standards and legal regulations.,Active
RISK-c23a2d96,SUP-b8f125af,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b8f125af is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-34323e8e,SUP-b8f125af,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b8f125af is 0.,Conduct quarterly financial health assessments to identify deteriorating trends early and mitigate potential risks.,Active
RISK-b4674b38,SUP-b8f125af,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b8f125af is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-31302a8a,SUP-d717ae8d,Country Risk,15.0,Country Risk for supplier SUP-d717ae8d is 15.,Conduct regular political stability assessments in the country to inform supply chain strategies.,Active
RISK-ec4faac6,SUP-d717ae8d,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d717ae8d is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-17fb8d33,SUP-d717ae8d,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-d717ae8d is 10.,Conduct thorough financial health assessments and diversify supply sources to reduce financial risks.,Active
RISK-2f1a08cd,SUP-d717ae8d,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d717ae8d is 0.,Implement robust supplier credit management policies to monitor and reduce spend concentration risks.,Active
RISK-466ccfb5,SUP-a1bedd85,Country Risk,15.0,Country Risk for supplier SUP-a1bedd85 is 15.,"Conduct thorough due diligence on the supplier's operations in the high-risk country, including legal compliance assessments and local business partnerships to enhance resilience.",Active
RISK-b6bb2253,SUP-a1bedd85,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a1bedd85 is 0.,Develop a contingency plan.,Active
RISK-f8248219,SUP-a1bedd85,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-a1bedd85 is 10.,Implement comprehensive financial health assessments before entering contracts to ensure suppliers maintain strong credit ratings and stable cash flows.,Active
RISK-5b047427,SUP-a1bedd85,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a1bedd85 is 0.,Increase diversification of suppliers to reduce concentration risk.,Active
RISK-5ad045ee,SUP-8883d270,Country Risk,15.0,Country Risk for supplier SUP-8883d270 is 15.,Conduct regular country risk assessments to identify potential issues and implement diversified supply chain strategies.,Active
RISK-be342210,SUP-8883d270,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8883d270 is 0.,Diversify suppliers to reduce reliance on a single source.,Active
RISK-555514ae,SUP-8883d270,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-8883d270 is 10.,Conduct quarterly financial health assessments to monitor the supplier's liquidity ratios and credit standing.,Active
RISK-c5a6512c,SUP-8883d270,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8883d270 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-dc4068dd,SUP-bf8e18d3,Country Risk,15.0,Country Risk for supplier SUP-bf8e18d3 is 15.,Enhance local compliance monitoring and diversify supply chains to reduce dependency on high-risk regions.,Active
RISK-dccf5c35,SUP-bf8e18d3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-bf8e18d3 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-7f51d265,SUP-bf8e18d3,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-bf8e18d3 is 0.,Conduct quarterly financial health assessments to monitor supplier solvency and cash flow stability.,Active
RISK-81790237,SUP-bf8e18d3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-bf8e18d3 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-c9ea96d9,SUP-d58d76e9,Country Risk,15.0,Country Risk for supplier SUP-d58d76e9 is 15.,Conduct regular country-risk assessments to identify potential threats and implement diversified sourcing strategies across safer regions.,Active
RISK-5bc84870,SUP-d58d76e9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d58d76e9 is 0.,Develop a contingency plan.,Active
RISK-48015444,SUP-d58d76e9,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-d58d76e9 is 10.,Conduct quarterly financial health assessments on the supplier to ensure solvency and timely payments.,Active
RISK-52a0b1e4,SUP-d58d76e9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d58d76e9 is 0.,Implement strict financial controls and diversify suppliers to reduce spend concentration risk.,Active
RISK-3883048d,SUP-09c0052e,Country Risk,0.0,Country Risk for supplier SUP-09c0052e is 0.,Conduct regular market assessments to ensure compliance with local regulations.,Active
RISK-d65761fa,SUP-09c0052e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-09c0052e is 0.,Develop a contingency plan.,Active
RISK-a6258050,SUP-09c0052e,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-09c0052e is 10.,Develop a contingency plan.,Active
RISK-eee3bdd3,SUP-09c0052e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-09c0052e is 0.,Review and diversify spend categories to reduce concentration in high-risk suppliers.,Active
RISK-a2e0bf96,SUP-b8d69ad2,Country Risk,0.0,Country Risk for supplier SUP-b8d69ad2 is 0.,Enhance local regulatory compliance monitoring to mitigate country risk.,Active
RISK-59c6cc63,SUP-b8d69ad2,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b8d69ad2 is 0.,Diversify supply chain to reduce dependency on single suppliers.,Active
RISK-ee9a0021,SUP-b8d69ad2,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b8d69ad2 is 0.,Conduct quarterly financial health assessments to monitor the supplier's solvency and liquidity.,Active
RISK-a29c3c63,SUP-b8d69ad2,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b8d69ad2 is 0.,Diversify spending across multiple suppliers to reduce concentration risks.,Active
RISK-fce8c648,SUP-80fc86f7,Country Risk,15.0,Country Risk for supplier SUP-80fc86f7 is 15.,Develop a contingency plan.,Active
RISK-4077b6cc,SUP-80fc86f7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-80fc86f7 is 0.,Diversify suppliers to reduce reliance on a single source.,Active
RISK-b59ef47e,SUP-80fc86f7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-80fc86f7 is 0.,"Regularly review supplier financial statements to ensure liquidity and solvency, diversify suppliers when possible, and establish clear payment terms and conditions in contracts.",Active
RISK-be2a6769,SUP-80fc86f7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-80fc86f7 is 0.,Implement diversified supplier base to reduce spend concentration risk.,Active
RISK-1f3316f8,SUP-73344c24,Country Risk,15.0,Country Risk for supplier SUP-73344c24 is 15.,Conduct regular assessments to monitor the political stability and regulatory environment in the country to ensure compliance and mitigate potential risks.,Active
RISK-87ebd5f7,SUP-73344c24,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-73344c24 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-2eb6af7b,SUP-73344c24,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-73344c24 is 10.,Conduct quarterly financial health assessments and diversify supplier base to mitigate the high financial health risk.,Active
RISK-79e5f739,SUP-73344c24,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-73344c24 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-591b750b,SUP-fba2137f,Country Risk,15.0,Country Risk for supplier SUP-fba2137f is 15.,Diversify supply chain geographically to reduce exposure from country risks.,Active
RISK-afc7d82b,SUP-fba2137f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fba2137f is 0.,Diversify supply base to reduce dependency on single sources.,Active
RISK-55cf781c,SUP-fba2137f,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-fba2137f is 0.,Conduct quarterly financial health assessments and maintain diversified supplier relationships to mitigate financial health risks.,Active
RISK-10deabd0,SUP-fba2137f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fba2137f is 0.,Diversify suppliers to reduce concentration risk below the threshold level.,Active
RISK-90c25cb2,SUP-1f99c621,Country Risk,15.0,Country Risk for supplier SUP-1f99c621 is 15.,"Implement comprehensive due diligence and continuous monitoring to assess the political stability and regulatory environment in the country with a high country risk score, ensuring alignment with our ESG policy.",Active
RISK-8b835cf9,SUP-1f99c621,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-1f99c621 is 0.,Develop a contingency plan.,Active
RISK-aa0e5efa,SUP-1f99c621,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-1f99c621 is 10.,Conduct thorough financial health assessments and diversify suppliers to mitigate high-risk transactions.,Active
RISK-95d7c2f6,SUP-1f99c621,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-1f99c621 is 0.,Implement tiered purchasing agreements to reduce spend concentration risk.,Active
RISK-2725bfa8,SUP-6cf2772d,Country Risk,15.0,Country Risk for supplier SUP-6cf2772d is 15.,Conduct thorough due diligence on suppliers in high-risk countries and diversify supply chains to reduce dependency.,Active
RISK-7960260f,SUP-6cf2772d,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6cf2772d is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-f04c874c,SUP-6cf2772d,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-6cf2772d is 10.,Develop a contingency plan.,Active
RISK-baf333ad,SUP-6cf2772d,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6cf2772d is 0.,Implement real-time spend monitoring and categorization to identify concentration risks early.,Active
RISK-c355707c,SUP-435a0013,Country Risk,0.0,Country Risk for supplier SUP-435a0013 is 0.,Conduct regular audits and implement strict compliance monitoring to mitigate supplier country risk.,Active
RISK-90c1ffb7,SUP-435a0013,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-435a0013 is 0.,"Diversify suppliers to reduce dependency on a single source, thereby mitigating the impact of potential disruptions.",Active
RISK-ed203e10,SUP-435a0013,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-435a0013 is 25.,Conduct quarterly credit checks and diversify sourcing to reduce financial health risks from the supplier.,Active
RISK-2ac0ae6b,SUP-435a0013,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-435a0013 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-90c027ea,SUP-f51627c3,Country Risk,15.0,Country Risk for supplier SUP-f51627c3 is 15.,Conduct a comprehensive review of the country's regulatory environment and political stability to ensure compliance and minimize disruptions.,Active
RISK-f3504a17,SUP-f51627c3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f51627c3 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-6c0d0000,SUP-f51627c3,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f51627c3 is 0.,Conduct quarterly financial health assessments to ensure the supplier maintains strong credit ratings and stable cash flow.,Active
RISK-c3f3c89c,SUP-f51627c3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f51627c3 is 0.,Implement diversified procurement strategies to reduce dependency on any single supplier.,Active
RISK-f93133b9,SUP-5375dc2f,Country Risk,0.0,Country Risk for supplier SUP-5375dc2f is 0.,Maintain regular political stability assessments and diversify operations across multiple countries to mitigate country risk.,Active
RISK-53ba2486,SUP-5375dc2f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5375dc2f is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-4d4cde8f,SUP-5375dc2f,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-5375dc2f is 10.,Conduct thorough due diligence on the financial stability of the supplier by reviewing audited financial statements and credit ratings before entering into contracts.,Active
RISK-d32e3dbe,SUP-5375dc2f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5375dc2f is 0.,Diversify spend across multiple suppliers to reduce concentration risk.,Active
RISK-af940458,SUP-6ff67a14,Country Risk,15.0,Country Risk for supplier SUP-6ff67a14 is 15.,Implement diversified sourcing strategy across regions to reduce dependency on high-risk countries.,Active
RISK-1bf39243,SUP-6ff67a14,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6ff67a14 is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-14197972,SUP-6ff67a14,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-6ff67a14 is 0.,Conduct quarterly financial health assessments to monitor supplier performance metrics and ensure timely payment compliance.,Active
RISK-f72b1e6e,SUP-6ff67a14,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6ff67a14 is 0.,"Diversify suppliers to reduce reliance on any single vendor, ensuring business continuity in case of provider disruptions.",Active
RISK-a1623445,SUP-cde86854,Country Risk,15.0,Country Risk for supplier SUP-cde86854 is 15.,Implement rigorous local compliance monitoring and regular audits to address country risks in the region scoring 15.,Active
RISK-76b9cfb5,SUP-cde86854,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-cde86854 is 0.,Diversify sourcing to reduce reliance on single suppliers.,Active
RISK-c23837e4,SUP-cde86854,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-cde86854 is 0.,Conduct quarterly financial health assessments to identify potential risks early.,Active
RISK-6a571f8b,SUP-cde86854,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-cde86854 is 0.,Diversify suppliers to reduce concentration risk across key vendors.,Active
RISK-90db3d29,SUP-d600d2a7,Country Risk,15.0,Country Risk for supplier SUP-d600d2a7 is 15.,Conduct regular audits and implement strict compliance protocols to mitigate country risk.,Active
RISK-196205cf,SUP-d600d2a7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d600d2a7 is 0.,Develop a contingency plan.,Active
RISK-ac85506b,SUP-d600d2a7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-d600d2a7 is 0.,Regularly review the financial statements and credit ratings to ensure timely identification of potential issues.,Active
RISK-88a89181,SUP-d600d2a7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d600d2a7 is 0.,Implement stricter vendor credit limits and diversify suppliers to reduce spend concentration risk.,Active
RISK-3afaac20,SUP-82e08eba,Country Risk,0.0,Country Risk for supplier SUP-82e08eba is 0.,Conduct regular country risk assessments and establish diversified supply chains to reduce exposure.,Active
RISK-bee79286,SUP-82e08eba,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-82e08eba is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-7e08ee8a,SUP-82e08eba,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-82e08eba is 0.,Conduct regular credit checks and financial health assessments on suppliers to ensure they maintain strong credit ratings and stable cash flow.,Active
RISK-568f7538,SUP-82e08eba,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-82e08eba is 0.,Monitor and diversify spend across multiple suppliers to reduce exposure from concentration risks.,Active
RISK-bea77856,SUP-396d7de2,Country Risk,15.0,Country Risk for supplier SUP-396d7de2 is 15.,Conduct regular country risk assessments and diversify supply chain locations to reduce reliance on high-risk countries.,Active
RISK-a776fb57,SUP-396d7de2,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-396d7de2 is 0.,Develop a contingency plan.,Active
RISK-27ec3243,SUP-396d7de2,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-396d7de2 is 10.,Conduct regular financial health assessments and establish contingent supply agreements to mitigate the financial health risk.,Active
RISK-89304d24,SUP-396d7de2,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-396d7de2 is 0.,Implement diversified sourcing strategies to reduce reliance on any single supplier.,Active
RISK-ec255a41,SUP-b0a538a5,Country Risk,15.0,Country Risk for supplier SUP-b0a538a5 is 15.,Conduct thorough due diligence on the supplier's operations in the high-risk country to ensure compliance with local regulations and implement additional monitoring mechanisms to detect potential risks.,Active
RISK-82b42950,SUP-b0a538a5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b0a538a5 is 0.,"Diversify suppliers to reduce dependency on single sources, ensuring availability of critical components even if the current supplier faces issues.",Active
RISK-4618288d,SUP-b0a538a5,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-b0a538a5 is 10.,Conduct thorough financial health assessments and diversify vendor relationships to mitigate the high financial health risk.,Active
RISK-991b8526,SUP-b0a538a5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b0a538a5 is 0.,Implement diversified procurement strategy across multiple suppliers to reduce concentration risk.,Active
RISK-658dc8bc,SUP-baae5b79,Country Risk,15.0,Country Risk for supplier SUP-baae5b79 is 15.,Conduct thorough due diligence on suppliers operating in countries with high-risk scores and implement regular risk assessments to ensure compliance and minimize exposure.,Active
RISK-b62f2aa2,SUP-baae5b79,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-baae5b79 is 0.,"Diversify suppliers to reduce reliance on any single source, thereby mitigating risks associated with single sourcing.",Active
RISK-0f68e60c,SUP-baae5b79,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-baae5b79 is 10.,Develop a contingency plan.,Active
RISK-181cdb40,SUP-baae5b79,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-baae5b79 is 0.,Diversify suppliers to reduce concentration risks associated with high spend volumes.,Active
