category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0012,Adizero SL - S - Navy - Removable cover,S,Navy,Removable cover,197
1,Footwear,5,Originals,Adidas,ADI-P-0007,Samba OG,ADI-S-0013,Samba OG - 375g - White - Hyaluronic acid,375g,White,Hyaluronic acid,70
2,Apparel,7,Pants,Adidas,ADI-P-0008,Tiro 23 Club Pants,ADI-S-0014,Tiro 23 Club Pants - L - Beige - 7-zone support,L,Beige,7-zone support,58
1,Footwear,5,Originals,Adidas,ADI-P-0009,Forum Low,ADI-S-0015,Forum Low - 50ml - White - Coanda styling,50ml,White,Coanda styling,134
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0016,Essentials Backpack - 50ml - Navy - Ortholite insole,50ml,Navy,Ortholite insole,103
1,Footwear,5,Originals,Adidas,ADI-P-0009,Forum Low,ADI-S-0017,Forum Low - 200g - Blue/Copper - Laptop sleeve,200g,Blue/Copper,Laptop sleeve,143
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0018,Ultraboost Light - XL - Black - 7-zone support,XL,Black,7-zone support,92
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0019,Adizero SL - XL - N/A - 7-zone support,XL,N/A,7-zone support,58
2,Apparel,6,Tops,Adidas,ADI-P-0010,Future Icons Tee,ADI-S-0020,Future Icons Tee - 41 - White/Silver - Ortholite insole,41,White/Silver,Ortholite insole,68
1,Footwear,5,Originals,Adidas,ADI-P-0007,Samba OG,ADI-S-0021,Samba OG - 50ml - Blue/Copper - HEPA H13,50ml,Blue/Copper,HEPA H13,67
2,Apparel,3,Socks,Adidas,ADI-P-0003,Cushioned Crew Socks 3-Pack,ADI-S-0022,Cushioned Crew Socks 3-Pack - 41 - N/A - Hyaluronic acid,41,N/A,Hyaluronic acid,85
1,Footwear,5,Originals,Adidas,ADI-P-0005,Stan Smith,ADI-S-0023,Stan Smith - 43 - White/Silver - Boost midsole,43,White/Silver,Boost midsole,156
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0024,Adizero SL - L - Grey - Instant coffee,L,Grey,Instant coffee,96
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0025,Adizero SL - 41 - Nickel - Coanda styling,41,Nickel,Coanda styling,199
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0026,Essentials Backpack - One Size - Blue/Copper - AEROREADY,One Size,Blue/Copper,AEROREADY,142
1,Footwear,1,Running,Adidas,ADI-P-0001,Adizero SL,ADI-S-0027,Adizero SL - 140x200cm - Blue/Copper - Removable cover,140x200cm,Blue/Copper,Removable cover,158
2,Apparel,7,Pants,Adidas,ADI-P-0008,Tiro 23 Club Pants,ADI-S-0028,Tiro 23 Club Pants - M - Green - Hyaluronic acid,M,Green,Hyaluronic acid,48
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0029,Ultraboost Light - 50ml - Green - HEPA H13,50ml,Green,HEPA H13,157
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0030,Essentials Backpack - 200g - White - Instant coffee,200g,White,Instant coffee,74
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0031,Essentials Backpack - 160x200cm - Navy - Ortholite insole,160x200cm,Navy,Ortholite insole,87
1,Footwear,5,Originals,Adidas,ADI-P-0005,Stan Smith,ADI-S-0032,Stan Smith - 43 - Blue/Copper - AEROREADY,43,Blue/Copper,AEROREADY,128
2,Apparel,6,Tops,Adidas,ADI-P-0010,Future Icons Tee,ADI-S-0033,Future Icons Tee - S - White - 7-zone support,S,White,7-zone support,178
1,Footwear,5,Originals,Adidas,ADI-P-0009,Forum Low,ADI-S-0034,Forum Low - XL - Black - Laptop sleeve,XL,Black,Laptop sleeve,178
1,Footwear,5,Originals,Adidas,ADI-P-0005,Stan Smith,ADI-S-0035,Stan Smith - M - White/Silver - Boost midmidsole,M,White/Silver,Boost midsole,196
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0036,Essentials Backpack - 200ml - Grey - Ortholite insole,200ml,Grey,Ortholite insole,139
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0037,Essentials Backpack - L - Green - HEPA H13,L,Green,HEPA H13,177
2,Apparel,6,Tops,Adidas,ADI-P-0006,AEROREADY Tee,ADI-S-0038,AEROREADY Tee - XL - Blue/Copper - Laptop sleeve,XL,Blue/Copper,Laptop sleeve,148
2,Apparel,6,Tops,Adidas,ADI-P-0006,AEROREADY Tee,ADI-S-0039,AEROREADY Tee - 140x200cm - Beige - Satin finish,140x200cm,Beige,Satin finish,182
2,Apparel,6,Tops,Adidas,ADI-P-0010,Future Icons Tee,ADI-S-0040,Future Icons Tee - M - Navy - Laptop sleeve,M,Navy,Laptop sleeve,32
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0041,Ultraboost Light - 160x200cm - Blue/Copper - Laptop sleeve,160x200cm,Blue/Copper,Laptop sleeve,126
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0042,Ultraboost Light - M - Black - Laptop sleeve,M,Black,Laptop sleeve,32
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0043,Ultraboost Light - 375g - Beige - Boost midsole,375g,Beige,Boost midsole,113
1,Footwear,5,Originals,Adidas,ADI-P-0009,Forum Low,ADI-S-0044,Forum Low - 140x200cm - White/Silver - Laptop sleeve,140x200cm,White/Silver,Laptop sleeve,117
2,Apparel,3,Socks,Adidas,ADI-P-0003,Cushioned Crew Socks 3-Pack,ADI-S-0045,Cushioned Crew Socks 3-Pack - 160x200cm - White/Silver - Laptop sleeve,160x200cm,White/Silver,Laptop sleeve,161
2,Apparel,6,Tops,Adidas,ADI-P-0006,AEROREADY Tee,ADI-S-0046,AEROREADY Tee - XL - White - Boost midsole,XL,White,Boost midsole,139
2,Apparel,7,Pants,Adidas,ADI-P-0008,Tiro 23 Club Pants,ADI-S-0047,Tiro 23 Club Pants - 41 - Nickel - Satin finish,41,Nickel,Satin finish,175
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0048,Ultraboost Light - 140x200cm - White - AEROREADY,140x200cm,White,AEROREADY,92
2,Apparel,7,Pants,Adidas,ADI-P-0008,Tiro 23 Club Pants,ADI-S-0049,Tiro 23 Club Pants - 200ml - White - Laptop sleeve,200ml,White,Laptop sleeve,54
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0050,Essentials Backpack - 42 - Grey - Hyaluronic acid,42,Grey,Hyaluronic acid,53
2,Apparel,6,Tops,Adidas,ADI-P-0010,Future Icons Tee,ADI-S-0051,Future Icons Tee - XL - White - Satin finish,XL,White,Satin finish,165
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0052,Essentials Backpack - M - Black - Instant coffee,M,Black,Instant coffee,200
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0053,Ultraboost Light - M - Navy - Ortholite insole,M,Navy,Ortholite insole,93
2,Apparel,6,Tops,Adidas,ADI-P-0010,Future Icons Tee,ADI-S-0054,Future Icons Tee - XL - Nickel - AEROREADY,XL,Nickel,AEROREADY,50
1,Footwear,2,Running,Adidas,ADI-P-0002,Ultraboost Light,ADI-S-0055,Ultraboost Light - 41 - Green - Satin finish,41,Green,Satin finish,71
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0056,Essentials Backpack - 140x200cm - White/Silver - Ortholite insole,140x200cm,White/Silver,Ortholite insole,54
1,Footwear,5,Originals,Adidas,ADI-P-0007,Samba OG,ADI-S-0057,Samba OG - S - N/A - HEPA H13,S,N/A,HEPA H13,31
2,Apparel,7,Pants,Adidas,ADI-P-0008,Tiro 23 Club Pants,ADI-S-0058,Tiro 23 Club Pants - S - Black - Coanda styling,S,Black,Coanda styling,106
3,Accessories,4,Bags,Adidas,ADI-P-0004,Essentials Backpack,ADI-S-0059,Essentials Backpack - L - Black - HEPA H13,L,Black,HEPA H13,34
1,Footwear,5,Originals,Adidas,ADI-P-0005,Stan Smith,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,M,N/A,Boost midsole,142
1,Footwear,1,Running,Adidas,ADI-P-0011,Supernova 3,ADI-S-0061,Supernova 3 - 41 - White/Silver - Boost midsole,41,White/Silver,Boost midsole,132
1,Footwear,1,Running,Adidas,ADI-P-0012,Supernova Rise,ADI-S-0062,Supernova Rise - 42 - Blue/Copper - Hyaluronic acid,42,Blue/Copper,Hyaluronic acid,118
1,Footwear,1,Running,Adidas,ADI-P-0013,Supernova FW,ADI-S-0063,Supernova FW - 40 - Navy - 7-zone support,40,Navy,7-zone support,144
1,Footwear,1,Running,Adidas,ADI-P-0014,Ultraboost 25,ADI-S-0064,Ultraboost 25 - 43 - Black - Boost midsole,43,Black,Boost midsole,165
1,Footwear,5,Originals,Adidas,ADI-P-0015,Samba OG FW,ADI-S-0065,Samba OG FW - 41 - White - Coanda styling,41,White,Coanda styling,92
1,Footwear,5,Originals,Adidas,ADI-P-0016,Gazelle OG,ADI-S-0066,Gazelle OG - 42 - Green - Laptop sleeve,42,Green,Laptop sleeve,105
1,Footwear,5,Originals,Adidas,ADI-P-0017,Gazelle FW,ADI-S-0067,Gazelle FW - 43 - Blue/Copper - Ortholite insole,43,Blue/Copper,Ortholite insole,117
1,Footwear,6,Football,Adidas,ADI-P-0018,Predator 2025,ADI-S-0068,Predator 2025 - 42 - Black - Coanda styling,42,Black,Coanda styling,158
1,Footwear,6,Football,Adidas,ADI-P-0019,Predator Elite,ADI-S-0069,Predator Elite - 43 - White/Silver - Boost midsole,43,White/Silver,Boost midsole,171
1,Footwear,7,Outdoor,Adidas,ADI-P-0020,Terrex Trailmaker,ADI-S-0070,Terrex Trailmaker - 41 - Grey - Hyaluronic acid,41,Grey,Hyaluronic acid,139
1,Footwear,7,Outdoor,Adidas,ADI-P-0021,Terrex Swift,ADI-S-0071,Terrex Swift - 40 - Black - HEPA H13,40,Black,HEPA H13,152
1,Footwear,7,Outdoor,Adidas,ADI-P-0022,Terrex Agravic,ADI-S-0072,Terrex Agravic - 42 - Green - 7-zone support,42,Green,7-zone support,147
1,Footwear,7,Outdoor,Adidas,ADI-P-0023,The Road Cycling Shoe,ADI-S-0073,The Road Cycling Shoe - 43 - Blue/Copper - Ortholite insole,43,Blue/Copper,Ortholite insole,166
1,Footwear,8,Basketball,Adidas,ADI-P-0024,Harden Vol.9,ADI-S-0074,Harden Vol.9 - 43 - Black - Boost midsole,43,Black,Boost midsole,159
1,Footwear,9,Golf,Adidas,ADI-P-0025,ZG23 Golf Shoes,ADI-S-0075,ZG23 Golf Shoes - 42 - White/Silver - Hyaluronic acid,42,White/Silver,Hyaluronic acid,174
