category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0029,Ultraboost Light,ADI-S-0029,Ultraboost Light - 50ml - Green - HEPA H13,50ml,Green,HEPA H13,157.15
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0030,Essentials Backpack,ADI-S-0030,Essentials Backpack - 200g - White - Instant coffee,200g,White,Instant coffee,73.72
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0031,Essentials Backpack,ADI-S-0031,Essentials Backpack - 160x200cm - Navy - Ortholite insole,160x200cm,Navy,Ortholite insole,87.3
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0032,Stan Smith,ADI-S-0032,Stan Smith - 43 - Blue/Copper - AEROREADY,43,Blue/Copper,AEROREADY,127.81
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0033,Future Icons Tee,ADI-S-0033,Future Icons Tee - S - White - 7-zone support,S,White,7-zone support,178.17
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0034,Forum Low,ADI-S-0034,Forum Low - XL - Black - Laptop sleeve,XL,Black,Laptop sleeve,178.04
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0035,Adizero SL,ADI-S-0035,Adizero SL - M - White/Silver - Boost midsole,M,White/Silver,Boost midsole,196.04
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0036,Essentials Backpack,ADI-S-0036,Essentials Backpack - 200ml - Grey - Ortholite insole,200ml,Grey,Ortholite insole,138.76
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0037,Essentials Backpack,ADI-S-0037,Essentials Backpack - L - Green - HEPA H13,L,Green,HEPA H13,177.04
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0038,AEROREADY Tee,ADI-S-0038,AEROREADY Tee - XL - Blue/Copper - Laptop sleeve,XL,Blue/Copper,Laptop sleeve,148.33
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0039,AEROREADY Tee,ADI-S-0039,AEROREADY Tee - 140x200cm - Beige - Satin finish,140x200cm,Beige,Satin finish,181.93
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0040,Future Icons Tee,ADI-S-0040,Future Icons Tee - M - Navy - Laptop sleeve,M,Navy,Laptop sleeve,31.52
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0041,Ultraboost Light,ADI-S-0041,Ultraboost Light - 160x200cm - Blue/Copper - Laptop sleeve,160x200cm,Blue/Copper,Laptop sleeve,125.92
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0042,Ultraboost Light,ADI-S-0042,Ultraboost Light - M - Black - Laptop sleeve,M,Black,Laptop sleeve,32.13
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0043,Ultraboost Light,ADI-S-0043,Ultraboost Light - 375g - Beige - Boost midsole,375g,Beige,Boost midsole,112.55
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0044,Forum Low,ADI-S-0044,Forum Low - 140x200cm - White/Silver - Laptop sleeve,140x200cm,White/Silver,Laptop sleeve,117.06
ADI-ACC,Accessories,ADI-SOCK,Socks,Adidas,ADI-P-0045,Cushioned Crew Socks 3-Pack,ADI-S-0045,Cushioned Crew Socks 3-Pack - 160x200cm - White/Silver - Laptop sleeve,160x200cm,White/Silver,Laptop sleeve,161.23
ADI-APP,Apparel,ADI-MEN_TEE,Men T-Shirts,Adidas,ADI-P-0046,AEROREADY Tee,ADI-S-0046,AEROREADY Tee - XL - White - Boost midsole,XL,White,Boost midsole,138.62
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0047,Tiro 23 Club Pants,ADI-S-0047,Tiro 23 Club Pants - 41 - Nickel - Satin finish,41,Nickel,Satin finish,175.49
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0048,Ultraboost Light,ADI-S-0048,Ultraboost Light - 140x200cm - White - AEROREADY,140x200cm,White,AEROREADY,92.47
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0049,Tiro 23 Club Pants,ADI-S-0049,Tiro 23 Club Pants - 200ml - White - Laptop sleeve,200ml,White,Laptop sleeve,54.49
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0050,Essentials Backpack,ADI-S-0050,Essentials Backpack - 42 - Grey - Hyaluronic acid,42,Grey,Hyaluronic acid,53.03
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0051,Future Icons Tee,ADI-S-0051,Future Icons Tee - XL - White - Satin finish,XL,White,Satin finish,165.44
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0052,Essentials Backpack,ADI-S-0052,Essentials Backpack - M - Black - Instant coffee,M,Black,Instant coffee,199.87
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0053,Ultraboost Light,ADI-S-0053,Ultraboost Light - M - Navy - Ortholite insole,M,Navy,Ortholite insole,93.15
ADI-APP,Apparel,ADI-WOM_TEE,Women T-Shirts,Adidas,ADI-P-0054,Future Icons Tee,ADI-S-0054,Future Icons Tee - XL - Nickel - AEROREADY,XL,Nickel,AEROREADY,49.63
ADI-FTW,Footwear,ADI-RUN,Running,Adidas,ADI-P-0055,Ultraboost Light,ADI-S-0055,Ultraboost Light - 41 - Green - Satin finish,41,Green,Satin finish,71.34
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0056,Essentials Backpack,ADI-S-0056,Essentials Backpack - 140x200cm - White/Silver - Ortholite insole,140x200cm,White/Silver,Ortholite insole,54.18
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0057,Samba OG,ADI-S-0057,Samba OG - S - N/A - HEPA H13,S,N/A,HEPA H13,30.97
ADI-APP,Apparel,ADI-TRAIN,Training,Adidas,ADI-P-0058,Tiro 23 Club Pants,ADI-S-0058,Tiro 23 Club Pants - S - Black - Coanda styling,S,Black,Coanda styling,105.82
ADI-ACC,Accessories,ADI-BAG,Bags & Backpacks,Adidas,ADI-P-0059,Essentials Backpack,ADI-S-0059,Essentials Backpack - L - Black - HEPA H13,L,Black,HEPA H13,34.42
ADI-FTW,Footwear,ADI-LIFE,Lifestyle,Adidas,ADI-P-0060,Stan Smith,ADI-S-0060,Stan Smith - M - N/A - Boost midsole,M,N/A,Boost midsole,141.54
