employee_id,skill_id,proficiency_level,years_of_experience
EMP0055,SKILL027,Advanced,3.5
EMP0055,SKILL031,Beginner,1.2
EMP0055,SKILL024,Intermediate,3.4
EMP0056,SKILL032,Advanced,7.9
EMP0056,SKILL023,Advanced,3.5
EMP0056,SKILL045,Intermediate,2.0
EMP0056,SKILL020,Expert,3.1
EMP0056,SKILL027,Advanced,7.1
EMP0056,SKILL046,Advanced,8.7
EMP0057,SKILL038,Expert,6.6
EMP0057,SKILL047,Expert,7.0
EMP0057,SKILL024,Expert,8.3
EMP0057,SKILL028,Expert,7.0
EMP0057,SKILL020,Expert,6.3
EMP0058,SKILL025,Beginner,2.9
EMP0058,SKILL021,Advanced,4.4
EMP0058,SKILL045,Beginner,2.0
EMP0058,SKILL002,Beginner,0.9
EMP0058,SKILL003,Advanced,3.6
EMP0058,SKILL015,Intermediate,1.5
EMP0058,SKILL026,Intermediate,2.6
EMP0058,SKILL027,Beginner,0.7
EMP0059,SKILL001,Expert,9.0
EMP0059,SKILL025,Advanced,2.7
EMP0059,SKILL023,Expert,9.5
EMP0059,SKILL049,Beginner,1.2
EMP0059,SKILL026,Expert,7.4
EMP0060,SKILL004,Advanced,3.5
EMP0060,SKILL013,Advanced,1.9
EMP0060,SKILL001,Beginner,1.3
EMP0060,SKILL026,Intermediate,2.2
EMP0060,SKILL007,Expert,3.4
EMP0061,SKILL027,Advanced,5.4
EMP0061,SKILL039,Advanced,6.4
EMP0061,SKILL038,Expert,5.0
EMP0061,SKILL018,Intermediate,2.2
EMP0061,SKILL045,Intermediate,5.2
EMP0061,SKILL050,Intermediate,1.0
EMP0062,SKILL026,Expert,3.2
EMP0062,SKILL045,Advanced,1.6
EMP0062,SKILL032,Expert,4.2
EMP0062,SKILL015,Expert,3.1
EMP0062,SKILL004,Intermediate,2.9
EMP0062,SKILL027,Advanced,1.9
EMP0062,SKILL001,Advanced,2.9
EMP0062,SKILL043,Expert,4.1
EMP0062,SKILL021,Expert,3.2
EMP0062,SKILL010,Intermediate,1.4
EMP0063,SKILL020,Advanced,2.6
EMP0063,SKILL038,Advanced,6.0
EMP0063,SKILL018,Intermediate,1.7
EMP0063,SKILL029,Intermediate,2.7
EMP0063,SKILL024,Expert,5.5
EMP0063,SKILL028,Expert,6.0
EMP0063,SKILL045,Expert,5.3
EMP0063,SKILL039,Expert,3.8
EMP0064,SKILL028,Beginner,0.7
EMP0064,SKILL047,Intermediate,2.7
EMP0064,SKILL045,Advanced,2.6
EMP0064,SKILL020,Advanced,5.6
EMP0064,SKILL018,Intermediate,2.8
EMP0064,SKILL024,Intermediate,0.6
EMP0064,SKILL038,Expert,5.2
EMP0064,SKILL029,Advanced,5.0
EMP0065,SKILL037,Advanced,2.2
EMP0065,SKILL007,Advanced,5.1
EMP0065,SKILL045,Intermediate,1.5
EMP0065,SKILL036,Advanced,2.6
EMP0065,SKILL019,Expert,5.1
EMP0065,SKILL011,Intermediate,1.5
EMP0065,SKILL025,Expert,4.0
EMP0066,SKILL011,Expert,5.6
EMP0066,SKILL045,Advanced,4.7
EMP0066,SKILL047,Intermediate,1.9
EMP0066,SKILL006,Advanced,5.3
EMP0066,SKILL001,Intermediate,1.2
EMP0066,SKILL003,Intermediate,2.1
EMP0067,SKILL024,Advanced,3.6
EMP0067,SKILL035,Intermediate,2.1
EMP0067,SKILL034,Intermediate,1.2
EMP0067,SKILL020,Advanced,4.4
EMP0067,SKILL045,Expert,3.8
EMP0068,SKILL025,Advanced,2.9
EMP0068,SKILL037,Intermediate,1.7
EMP0068,SKILL019,Advanced,3.4
EMP0068,SKILL020,Beginner,0.5
EMP0068,SKILL027,Beginner,0.5
EMP0068,SKILL036,Advanced,1.0
EMP0068,SKILL007,Beginner,0.6
EMP0068,SKILL023,Expert,3.3
EMP0068,SKILL045,Intermediate,1.9
EMP0068,SKILL011,Intermediate,2.1
EMP0068,SKILL032,Intermediate,1.0
EMP0069,SKILL042,Intermediate,1.4
EMP0069,SKILL025,Intermediate,1.9
EMP0069,SKILL045,Beginner,2.1
EMP0069,SKILL027,Beginner,0.5
EMP0069,SKILL031,Expert,3.2
EMP0069,SKILL021,Intermediate,2.4
EMP0069,SKILL020,Intermediate,1.0
EMP0070,SKILL040,Beginner,0.8
EMP0070,SKILL027,Advanced,3.2
EMP0070,SKILL045,Beginner,1.5
EMP0070,SKILL024,Advanced,1.2
EMP0070,SKILL041,Advanced,3.2
EMP0071,SKILL011,Expert,6.4
EMP0071,SKILL045,Intermediate,2.3
EMP0071,SKILL007,Intermediate,1.2
EMP0071,SKILL037,Intermediate,4.9
EMP0071,SKILL025,Advanced,5.4
EMP0072,SKILL048,Intermediate,2.2
EMP0072,SKILL025,Advanced,5.7
EMP0072,SKILL010,Expert,6.4
EMP0072,SKILL001,Expert,7.4
EMP0072,SKILL002,Expert,6.2
EMP0072,SKILL013,Expert,4.5
EMP0072,SKILL009,Advanced,6.9
EMP0072,SKILL007,Beginner,2.8
EMP0073,SKILL032,Expert,9.0
EMP0073,SKILL027,Expert,6.1
EMP0073,SKILL020,Advanced,5.5
EMP0073,SKILL041,Advanced,6.3
EMP0073,SKILL031,Expert,5.1
EMP0073,SKILL045,Advanced,1.0
EMP0073,SKILL040,Intermediate,1.7
EMP0073,SKILL024,Expert,7.3
EMP0074,SKILL019,Advanced,8.3
EMP0074,SKILL011,Expert,7.8
EMP0074,SKILL025,Advanced,3.8
EMP0074,SKILL036,Advanced,8.2
EMP0074,SKILL045,Advanced,4.3
EMP0074,SKILL020,Expert,5.9
EMP0074,SKILL007,Advanced,1.6
EMP0075,SKILL045,Expert,3.4
EMP0075,SKILL032,Intermediate,1.6
EMP0075,SKILL037,Beginner,1.5
EMP0075,SKILL025,Advanced,1.5
EMP0075,SKILL020,Beginner,0.6
EMP0075,SKILL007,Beginner,1.7
EMP0076,SKILL045,Intermediate,1.6
EMP0076,SKILL018,Expert,4.8
EMP0076,SKILL020,Intermediate,3.6
EMP0076,SKILL024,Advanced,5.0
EMP0076,SKILL038,Expert,5.5
EMP0076,SKILL039,Intermediate,2.6
EMP0076,SKILL050,Advanced,3.8
EMP0076,SKILL029,Advanced,5.5
EMP0077,SKILL045,Advanced,4.6
EMP0077,SKILL043,Expert,6.9
EMP0077,SKILL042,Advanced,2.2
EMP0077,SKILL020,Advanced,4.0
EMP0077,SKILL021,Intermediate,4.1
EMP0077,SKILL027,Intermediate,1.1
EMP0077,SKILL031,Expert,7.0
EMP0077,SKILL025,Beginner,1.5
EMP0078,SKILL031,Expert,4.5
EMP0078,SKILL027,Advanced,2.7
EMP0078,SKILL041,Beginner,2.8
EMP0078,SKILL040,Advanced,4.5
EMP0078,SKILL024,Intermediate,1.8
EMP0078,SKILL048,Advanced,3.2
EMP0078,SKILL045,Advanced,1.4
EMP0078,SKILL020,Intermediate,4.4
EMP0078,SKILL032,Beginner,2.6
EMP0078,SKILL023,Advanced,3.8
EMP0079,SKILL031,Intermediate,1.3
EMP0079,SKILL023,Advanced,2.5
EMP0079,SKILL040,Intermediate,2.5
EMP0079,SKILL032,Intermediate,2.7
EMP0079,SKILL027,Intermediate,1.6
EMP0079,SKILL020,Intermediate,0.6
EMP0080,SKILL045,Advanced,4.0
EMP0080,SKILL023,Intermediate,2.9
EMP0080,SKILL027,Intermediate,2.5
EMP0080,SKILL025,Beginner,1.3
EMP0080,SKILL043,Advanced,4.1
EMP0080,SKILL020,Advanced,3.0
EMP0081,SKILL041,Advanced,5.3
EMP0081,SKILL024,Advanced,5.2
EMP0081,SKILL031,Advanced,8.8
EMP0081,SKILL048,Expert,7.6
EMP0081,SKILL032,Advanced,8.0
EMP0081,SKILL020,Advanced,6.2
EMP0081,SKILL045,Advanced,7.5
EMP0081,SKILL040,Expert,7.0
EMP0082,SKILL008,Intermediate,1.4
EMP0082,SKILL003,Expert,7.9
EMP0082,SKILL017,Beginner,2.4
EMP0082,SKILL021,Intermediate,2.3
EMP0082,SKILL011,Expert,8.5
EMP0082,SKILL009,Advanced,4.5
EMP0082,SKILL001,Advanced,8.4
EMP0083,SKILL021,Expert,7.5
EMP0083,SKILL043,Expert,8.2
EMP0083,SKILL031,Intermediate,3.0
EMP0083,SKILL025,Advanced,5.3
EMP0083,SKILL027,Advanced,7.6
EMP0083,SKILL032,Advanced,8.7
EMP0083,SKILL042,Intermediate,1.8
EMP0083,SKILL045,Expert,6.1
EMP0083,SKILL023,Expert,5.1
EMP0084,SKILL020,Advanced,7.1
EMP0084,SKILL024,Intermediate,4.9
EMP0084,SKILL027,Expert,6.5
EMP0084,SKILL031,Advanced,6.9
EMP0084,SKILL040,Intermediate,2.2
EMP0085,SKILL032,Advanced,7.0
EMP0085,SKILL012,Advanced,4.6
EMP0085,SKILL015,Beginner,1.1
EMP0085,SKILL014,Intermediate,1.3
EMP0085,SKILL043,Intermediate,2.4
EMP0085,SKILL011,Intermediate,2.9
EMP0085,SKILL004,Expert,5.5
EMP0085,SKILL025,Intermediate,1.5
EMP0085,SKILL021,Intermediate,2.5
EMP0085,SKILL026,Advanced,7.0
EMP0085,SKILL023,Intermediate,1.8
EMP0086,SKILL043,Advanced,1.2
EMP0086,SKILL021,Advanced,1.9
EMP0086,SKILL011,Advanced,3.5
EMP0086,SKILL044,Intermediate,2.5
EMP0086,SKILL017,Intermediate,2.2
EMP0086,SKILL026,Expert,3.6
EMP0086,SKILL009,Intermediate,2.0
EMP0086,SKILL001,Expert,3.5
EMP0087,SKILL027,Beginner,1.7
EMP0087,SKILL045,Advanced,7.4
EMP0087,SKILL047,Expert,7.8
EMP0087,SKILL040,Expert,9.2
EMP0087,SKILL020,Expert,5.7
EMP0088,SKILL003,Advanced,6.4
EMP0088,SKILL007,Expert,6.6
EMP0088,SKILL025,Expert,4.5
EMP0088,SKILL045,Advanced,5.7
EMP0088,SKILL044,Expert,3.0
EMP0088,SKILL009,Advanced,1.7
EMP0088,SKILL001,Advanced,5.4
EMP0088,SKILL015,Intermediate,1.0
EMP0088,SKILL002,Advanced,3.9
EMP0088,SKILL016,Advanced,5.1
EMP0088,SKILL027,Expert,7.0
EMP0089,SKILL020,Intermediate,2.7
EMP0089,SKILL011,Advanced,1.4
EMP0089,SKILL037,Beginner,0.6
