invoiceNumber,supplierReference,dateCreated,paymentDueDate,totalPaymentDue,paymentStatus,late_payment_flag,poOrderNumber,glAccount,costCenter,invoiceText,postingDate
INV-360d4958,9224213460227,2024-03-15 23:37:56,2024-04-13 23:37:56,50110.71,Overdue,False,PO-6fb71bb989,GL-1164,CC-151,Invoice for PO PO-6fb71bb989,2024-03-16 23:37:56
INV-6dba8715,4073351699649,2024-03-18 23:37:56,2024-04-13 23:37:56,60957.54,Received,False,PO-6fb71bb989,GL-1200,CC-151,Invoice for PO PO-6fb71bb989,2024-03-17 23:37:56
INV-1024902a,3758479085925,2025-08-15 07:52:12,2025-11-12 07:52:12,12683.62,Scheduled for Payment,False,PO-767511ef79,GL-1148,CC-109,Invoice for PO PO-767511ef79,2025-08-23 07:52:12
INV-b4a2069d,567780941461,2025-08-17 07:52:12,2025-11-12 07:52:12,14864.12,Approved,False,PO-767511ef79,GL-1039,CC-109,Invoice for PO PO-767511ef79,2025-08-21 07:52:12
INV-76764661,6364545993192,2024-02-16 23:23:40,2024-04-15 23:23:40,50652.89,Approved,False,PO-7fbea00ace,GL-1121,CC-127,Invoice for PO PO-7fbea00ace,2024-02-19 23:23:40
INV-59edd441,7373415898634,2023-10-28 22:19:35,2023-12-25 22:19:35,165507.36,Paid,False,PO-806ef5e0a3,GL-1160,CC-177,Invoice for PO PO-806ef5e0a3,2023-11-04 22:19:35
INV-30a682d2,28288819565,2024-09-26 15:58:46,2024-12-23 15:58:46,44544.26,Overdue,False,PO-8f68b80030,GL-1101,CC-107,Invoice for PO PO-8f68b80030,2024-09-29 15:58:46
INV-f7d76755,1376445342555,2024-09-26 15:58:46,2024-12-23 15:58:46,47402.2,Paid,False,PO-8f68b80030,GL-1063,CC-107,Invoice for PO PO-8f68b80030,2024-10-04 15:58:46
INV-967da63c,1149114093221,2024-09-27 15:58:46,2024-12-23 15:58:46,54086.67,Overdue,False,PO-8f68b80030,GL-1178,CC-107,Invoice for PO PO-8f68b80030,2024-10-01 15:58:46
INV-c8e607eb,5685230279232,2024-08-27 10:23:14,2024-10-22 10:23:14,922.9,Received,False,PO-92d32a927e,GL-1077,CC-136,Invoice for PO PO-92d32a927e,2024-09-02 10:23:14
INV-5a110600,518195435175,2024-08-28 10:23:14,2024-10-22 10:23:14,902.72,Rejected,False,PO-92d32a927e,GL-1035,CC-136,Invoice for PO PO-92d32a927e,2024-08-29 10:23:14
INV-40b550d5,2689713306302,2024-08-27 10:23:14,2024-10-22 10:23:14,698.54,Paid,False,PO-92d32a927e,GL-1183,CC-136,Invoice for PO PO-92d32a927e,2024-09-02 10:23:14
INV-72cebd57,4177195436344,2024-05-02 11:31:29,2024-05-29 11:31:29,27357.0,Overdue,False,PO-995be462ce,GL-1014,CC-109,Invoice for PO PO-995be462ce,2024-05-01 11:31:29
INV-cdced39f,3832899568906,2025-01-30 22:15:04,2025-02-24 22:15:04,67453.54,Rejected,False,PO-9ab24e8f1f,GL-1132,CC-126,Invoice for PO PO-9ab24e8f1f,2025-01-28 22:15:04
INV-fbf3e743,8847877309599,2025-01-30 22:15:04,2025-02-24 22:15:04,68928.95,Received,False,PO-9ab24e8f1f,GL-1118,CC-126,Invoice for PO PO-9ab24e8f1f,2025-02-01 22:15:04
INV-c37920ca,3631408154308,2025-01-30 22:15:04,2025-02-24 22:15:04,76342.56,Approved,False,PO-9ab24e8f1f,GL-1010,CC-126,Invoice for PO PO-9ab24e8f1f,2025-02-02 22:15:04
INV-c23e6a43,3981235572098,2025-10-04 01:35:42,2025-11-30 01:35:42,36800.51,Approved,False,PO-a3a6944295,GL-1092,CC-175,Invoice for PO PO-a3a6944295,2025-10-09 01:35:42
INV-54f2b48b,9850251288266,2025-10-04 01:35:42,2025-11-30 01:35:42,33674.15,Received,False,PO-a3a6944295,GL-1025,CC-175,Invoice for PO PO-a3a6944295,2025-10-05 01:35:42
INV-2cf7d594,883136985591,2025-10-04 01:35:42,2025-11-30 01:35:42,34519.51,Scheduled for Payment,False,PO-a3a6944295,GL-1159,CC-175,Invoice for PO PO-a3a6944295,2025-10-11 01:35:42
INV-665c1821,9373083583700,2024-02-24 19:05:07,2024-05-20 19:05:07,63941.35,Received,False,PO-a4dec15d14,GL-1101,CC-119,Invoice for PO PO-a4dec15d14,2024-02-23 19:05:07
INV-599d3bf8,155125541027,2024-02-24 19:05:07,2024-05-20 19:05:07,66787.73,Approved,False,PO-a4dec15d14,GL-1112,CC-119,Invoice for PO PO-a4dec15d14,2024-02-23 19:05:07
INV-25cd69e2,7248357471309,2024-02-25 19:05:07,2024-05-20 19:05:07,58394.11,Overdue,False,PO-a4dec15d14,GL-1037,CC-119,Invoice for PO PO-a4dec15d14,2024-02-27 19:05:07
INV-b2b9fd17,1615915075105,2024-10-15 20:19:37,2024-11-12 20:19:37,78732.12,Rejected,False,PO-b2642c1df8,GL-1195,CC-139,Invoice for PO PO-b2642c1df8,2024-10-14 20:19:37
INV-2f8ce658,2103539061059,2024-08-05 09:10:00,2024-11-02 09:10:00,13087.49,Paid,False,PO-cfff6288f3,GL-1061,CC-180,Invoice for PO PO-cfff6288f3,2024-08-06 09:10:00
INV-b2218456,7205270562781,2024-08-08 09:10:00,2024-11-02 09:10:00,15315.12,Approved,False,PO-cfff6288f3,GL-1024,CC-180,Invoice for PO PO-cfff6288f3,2024-08-07 09:10:00
INV-b21c05e2,3689941687982,2024-08-06 09:10:00,2024-11-02 09:10:00,14880.48,Overdue,False,PO-cfff6288f3,GL-1152,CC-180,Invoice for PO PO-cfff6288f3,2024-08-07 09:10:00
INV-38cc89b7,2498528195557,2024-04-15 15:57:09,2024-07-09 15:57:09,28282.66,Paid,False,PO-f43b3dda54,GL-1183,CC-114,Invoice for PO PO-f43b3dda54,2024-04-17 15:57:09
INV-1d80b35e,4279941097110,2024-04-14 15:57:09,2024-07-09 15:57:09,30571.56,Overdue,False,PO-f43b3dda54,GL-1001,CC-114,Invoice for PO PO-f43b3dda54,2024-04-18 15:57:09
INV-b88bea9c,3577751209411,2024-04-14 15:57:09,2024-07-09 15:57:09,24647.48,Received,False,PO-f43b3dda54,GL-1045,CC-114,Invoice for PO PO-f43b3dda54,2024-04-16 15:57:09
INV-154d42f9,4026433672344,2024-10-11 09:29:32,2024-12-06 09:29:32,21606.17,Received,False,PO-0109389baf,GL-1115,CC-120,Invoice for PO PO-0109389baf,2024-10-10 09:29:32
INV-ba9e0edf,5505345718818,2024-10-08 09:29:32,2024-12-06 09:29:32,22554.86,Approved,False,PO-0109389baf,GL-1188,CC-120,Invoice for PO PO-0109389baf,2024-10-11 09:29:32
INV-2c8b9d75,1074361158037,2024-10-12 09:29:32,2024-12-06 09:29:32,27080.26,Paid,False,PO-0109389baf,GL-1127,CC-120,Invoice for PO PO-0109389baf,2024-10-10 09:29:32
INV-93087ea4,441130711518,2025-01-23 04:19:07,2025-04-18 04:19:07,6001.1,Paid,False,PO-087faf7d01,GL-1089,CC-171,Invoice for PO PO-087faf7d01,2025-01-21 04:19:07
INV-36d1fdfb,4929825836,2025-01-22 04:19:07,2025-04-18 04:19:07,5137.31,Overdue,False,PO-087faf7d01,GL-1189,CC-171,Invoice for PO PO-087faf7d01,2025-01-27 04:19:07
INV-b9582880,8368760330662,2024-01-03 21:20:32,2024-03-02 21:20:32,7726.88,Received,False,PO-0ac1547dab,GL-1111,CC-168,Invoice for PO PO-0ac1547dab,2024-01-07 21:20:32
INV-285ab802,8605442475915,2024-01-04 21:20:32,2024-03-02 21:20:32,6890.5,Received,False,PO-0ac1547dab,GL-1166,CC-168,Invoice for PO PO-0ac1547dab,2024-01-09 21:20:32
INV-f4bb724f,1060130175343,2024-02-06 02:22:57,2024-04-04 02:22:57,27189.49,Paid,False,PO-0c2bd0e903,GL-1197,CC-120,Invoice for PO PO-0c2bd0e903,2024-02-11 02:22:57
INV-45f3359e,8772357112584,2025-04-11 08:34:37,2025-06-06 08:34:37,77416.38,Approved,False,PO-2149a09a2e,GL-1041,CC-102,Invoice for PO PO-2149a09a2e,2025-04-09 08:34:37
INV-609b84fc,9302528099209,2025-04-09 08:34:37,2025-06-06 08:34:37,92836.66,Approved,False,PO-2149a09a2e,GL-1135,CC-102,Invoice for PO PO-2149a09a2e,2025-04-13 08:34:37
INV-ca4a3f49,2380341087389,2024-10-17 06:34:16,2025-01-13 06:34:16,52261.64,Rejected,False,PO-2447bb50bd,GL-1115,CC-154,Invoice for PO PO-2447bb50bd,2024-10-23 06:34:16
INV-ae11301c,180566191074,2025-05-09 23:25:46,2025-06-03 23:25:46,37578.85,Approved,False,PO-2a46728010,GL-1166,CC-126,Invoice for PO PO-2a46728010,2025-05-11 23:25:46
INV-d2f9103e,5586281076927,2025-05-06 23:25:46,2025-06-03 23:25:46,43105.45,Approved,False,PO-2a46728010,GL-1059,CC-126,Invoice for PO PO-2a46728010,2025-05-05 23:25:46
INV-9bb85f28,4308540392644,2024-05-08 19:44:47,2024-06-05 19:44:47,54786.98,Received,False,PO-44fefd7d69,GL-1037,CC-108,Invoice for PO PO-44fefd7d69,2024-05-13 19:44:47
INV-ba630dec,2610709801174,2024-05-10 19:44:47,2024-06-05 19:44:47,52646.68,Paid,False,PO-44fefd7d69,GL-1163,CC-108,Invoice for PO PO-44fefd7d69,2024-05-09 19:44:47
INV-44ec95d4,6055631117591,2024-05-11 19:44:47,2024-06-05 19:44:47,45749.79,Approved,False,PO-44fefd7d69,GL-1162,CC-108,Invoice for PO PO-44fefd7d69,2024-05-12 19:44:47
INV-0800ccc9,8410193140896,2024-02-08 04:40:58,2024-03-07 04:40:58,162435.13,Received,False,PO-48ea6d3aea,GL-1042,CC-103,Invoice for PO PO-48ea6d3aea,2024-02-16 04:40:58
INV-a97595a6,224318226932,2024-03-10 13:36:23,2024-06-03 13:36:23,8521.3,Overdue,False,PO-65eef132c7,GL-1170,CC-129,Invoice for PO PO-65eef132c7,2024-03-08 13:36:23
INV-603a0c3c,5945229383464,2024-03-09 13:36:23,2024-06-03 13:36:23,9246.33,Received,False,PO-65eef132c7,GL-1088,CC-129,Invoice for PO PO-65eef132c7,2024-03-11 13:36:23
INV-d9abd520,5871300102573,2024-03-07 13:36:23,2024-06-03 13:36:23,10590.28,Approved,False,PO-65eef132c7,GL-1171,CC-129,Invoice for PO PO-65eef132c7,2024-03-07 13:36:23
INV-291a241b,5676346930353,2024-06-08 17:09:37,2024-09-02 17:09:37,79403.72,Received,False,PO-761748f2d6,GL-1078,CC-136,Invoice for PO PO-761748f2d6,2024-06-10 17:09:37
INV-19190e1e,2700682145195,2024-06-07 17:09:37,2024-09-02 17:09:37,81688.42,Approved,False,PO-761748f2d6,GL-1042,CC-136,Invoice for PO PO-761748f2d6,2024-06-05 17:09:37
INV-ed128253,318759170173,2024-07-01 18:42:48,2024-08-28 18:42:48,8080.33,Approved,False,PO-77d4e780c1,GL-1010,CC-159,Invoice for PO PO-77d4e780c1,2024-07-07 18:42:48
INV-bacdab0c,5992354022850,2024-07-03 18:42:48,2024-08-28 18:42:48,6884.85,Overdue,False,PO-77d4e780c1,GL-1140,CC-159,Invoice for PO PO-77d4e780c1,2024-07-08 18:42:48
INV-e491d44e,6970516859949,2025-07-27 02:00:16,2025-10-22 02:00:16,28180.57,Approved,False,PO-7c6e26688f,GL-1045,CC-173,Invoice for PO PO-7c6e26688f,2025-07-29 02:00:16
INV-bfb68e92,5615666272101,2025-07-29 02:00:16,2025-10-22 02:00:16,27146.84,Approved,False,PO-7c6e26688f,GL-1131,CC-173,Invoice for PO PO-7c6e26688f,2025-07-31 02:00:16
INV-c63a4c1a,7143134782565,2025-07-29 02:00:16,2025-10-22 02:00:16,32402.23,Approved,False,PO-7c6e26688f,GL-1056,CC-173,Invoice for PO PO-7c6e26688f,2025-08-01 02:00:16
INV-d485d2f9,4012992374355,2024-04-09 06:53:52,2024-06-03 06:53:52,72293.14,Overdue,False,PO-822a543713,GL-1180,CC-173,Invoice for PO PO-822a543713,2024-04-12 06:53:52
INV-1d7a680f,6814997892166,2024-10-11 23:39:52,2025-01-05 23:39:52,41277.54,Received,False,PO-9d5e1dad3d,GL-1098,CC-164,Invoice for PO PO-9d5e1dad3d,2024-10-13 23:39:52
INV-3e28a708,9931299546058,2024-10-12 23:39:52,2025-01-05 23:39:52,47962.44,Received,False,PO-9d5e1dad3d,GL-1183,CC-164,Invoice for PO PO-9d5e1dad3d,2024-10-15 23:39:52
INV-73ed063a,3220350172647,2025-03-04 15:59:35,2025-05-29 15:59:35,28260.21,Approved,False,PO-9fd5586357,GL-1003,CC-175,Invoice for PO PO-9fd5586357,2025-03-10 15:59:35
INV-75c8abe8,7491513078694,2024-03-15 15:45:28,2024-05-13 15:45:28,14743.79,Paid,False,PO-a13351d113,GL-1192,CC-157,Invoice for PO PO-a13351d113,2024-03-22 15:45:28
INV-464c4d43,5286165782783,2024-03-16 15:45:28,2024-05-13 15:45:28,14529.77,Overdue,False,PO-a13351d113,GL-1179,CC-157,Invoice for PO PO-a13351d113,2024-03-18 15:45:28
INV-082a7200,6086709188953,2024-03-18 15:45:28,2024-05-13 15:45:28,12661.72,Overdue,False,PO-a13351d113,GL-1113,CC-157,Invoice for PO PO-a13351d113,2024-03-17 15:45:28
INV-e2faa317,6253725457619,2025-10-04 07:18:10,2025-11-28 07:18:10,21536.99,Scheduled for Payment,False,PO-a296e94b51,GL-1162,CC-101,Invoice for PO PO-a296e94b51,2025-10-04 07:18:10
INV-996fb1fe,329985869151,2025-09-30 07:18:10,2025-11-28 07:18:10,22346.22,Received,False,PO-a296e94b51,GL-1190,CC-101,Invoice for PO PO-a296e94b51,2025-10-05 07:18:10
INV-dfac9dc3,5577476555105,2025-05-22 13:13:02,2025-06-19 13:13:02,25489.2,Paid,False,PO-b4a5c1bc54,GL-1051,CC-100,Invoice for PO PO-b4a5c1bc54,2025-05-25 13:13:02
INV-5bee140c,9379547542528,2025-05-24 13:13:02,2025-06-19 13:13:02,28615.18,Approved,False,PO-b4a5c1bc54,GL-1122,CC-100,Invoice for PO PO-b4a5c1bc54,2025-05-23 13:13:02
INV-66ffc528,6396273081568,2024-03-12 20:42:31,2024-06-07 20:42:31,17437.63,Paid,False,PO-b8cdb539c7,GL-1064,CC-143,Invoice for PO PO-b8cdb539c7,2024-03-17 20:42:31
INV-baef2b09,8935566722870,2024-07-09 13:08:51,2024-10-02 13:08:51,105427.43,Approved,False,PO-cad53d1602,GL-1034,CC-117,Invoice for PO PO-cad53d1602,2024-07-06 13:08:51
INV-6ae3f98d,8451441555994,2024-07-09 13:08:51,2024-10-02 13:08:51,89062.92,Rejected,False,PO-cad53d1602,GL-1157,CC-117,Invoice for PO PO-cad53d1602,2024-07-07 13:08:51
INV-824ee88e,3002653637906,2024-05-31 00:48:20,2024-08-28 00:48:20,7577.77,Paid,True,PO-cc587c36af,GL-1064,CC-148,Invoice for PO PO-cc587c36af,2024-06-08 00:48:20
INV-49737b7f,9612734503293,2024-06-03 00:48:20,2024-08-28 00:48:20,8267.14,Received,False,PO-cc587c36af,GL-1065,CC-148,Invoice for PO PO-cc587c36af,2024-05-31 00:48:20
INV-3ac741e9,761914759933,2024-06-01 00:48:20,2024-08-28 00:48:20,7539.54,Overdue,False,PO-cc587c36af,GL-1123,CC-148,Invoice for PO PO-cc587c36af,2024-06-07 00:48:20
INV-d1e15dfe,7263236524495,2025-04-18 04:51:00,2025-07-12 04:51:00,59730.41,Received,False,PO-cfad5eb35d,GL-1046,CC-106,Invoice for PO PO-cfad5eb35d,2025-04-17 04:51:00
INV-9bfe3224,6262725978505,2025-04-18 04:51:00,2025-07-12 04:51:00,64273.97,Rejected,False,PO-cfad5eb35d,GL-1173,CC-106,Invoice for PO PO-cfad5eb35d,2025-04-15 04:51:00
INV-4d44ff9b,8082822639684,2024-09-02 16:33:17,2024-11-28 16:33:17,53551.34,Received,False,PO-d21c09e89f,GL-1042,CC-172,Invoice for PO PO-d21c09e89f,2024-09-02 16:33:17
INV-f3cce810,1683515261198,2024-09-01 16:33:17,2024-11-28 16:33:17,56999.6,Approved,False,PO-d21c09e89f,GL-1169,CC-172,Invoice for PO PO-d21c09e89f,2024-08-31 16:33:17
INV-1213c03b,1194414235178,2024-08-13 21:55:11,2024-10-10 21:55:11,51711.17,Approved,False,PO-dd57feb8d5,GL-1108,CC-106,Invoice for PO PO-dd57feb8d5,2024-08-16 21:55:11
INV-f33c34d4,1589853537035,2024-08-13 21:55:11,2024-10-10 21:55:11,62074.47,Paid,False,PO-dd57feb8d5,GL-1077,CC-106,Invoice for PO PO-dd57feb8d5,2024-08-12 21:55:11
INV-d8eeb367,1887727695752,2024-08-15 21:55:11,2024-10-10 21:55:11,57722.59,Approved,False,PO-dd57feb8d5,GL-1014,CC-106,Invoice for PO PO-dd57feb8d5,2024-08-20 21:55:11
INV-31e35390,2177893843019,2024-12-29 14:42:29,2025-03-26 14:42:29,11006.25,Paid,True,PO-e02eb2753b,GL-1010,CC-135,Invoice for PO PO-e02eb2753b,2025-01-03 14:42:29
INV-d492f244,8795174479678,2023-12-18 13:56:39,2024-01-16 13:56:39,53907.55,Overdue,False,PO-e6d70afc74,GL-1088,CC-138,Invoice for PO PO-e6d70afc74,2023-12-23 13:56:39
INV-1ebff257,9035638027779,2023-12-18 13:56:39,2024-01-16 13:56:39,55302.71,Overdue,False,PO-e6d70afc74,GL-1181,CC-138,Invoice for PO PO-e6d70afc74,2023-12-21 13:56:39
INV-6999b458,762910919369,2023-12-18 13:56:39,2024-01-16 13:56:39,67448.24,Paid,False,PO-e6d70afc74,GL-1055,CC-138,Invoice for PO PO-e6d70afc74,2023-12-25 13:56:39
INV-36e4fa92,1600726355270,2024-12-10 00:22:50,2025-03-08 00:22:50,107957.54,Overdue,False,PO-ec5667e4c2,GL-1116,CC-145,Invoice for PO PO-ec5667e4c2,2024-12-17 00:22:50
INV-834cce29,8551349300808,2024-12-09 00:22:50,2025-03-08 00:22:50,108121.45,Approved,False,PO-ec5667e4c2,GL-1140,CC-145,Invoice for PO PO-ec5667e4c2,2024-12-11 00:22:50
INV-3113510c,4485154012974,2025-07-21 01:19:59,2025-08-18 01:19:59,42362.27,Approved,False,PO-ef4bd6d187,GL-1185,CC-123,Invoice for PO PO-ef4bd6d187,2025-07-25 01:19:59
INV-da8e3610,6635893722797,2025-07-23 01:19:59,2025-08-18 01:19:59,44766.62,Approved,False,PO-ef4bd6d187,GL-1143,CC-123,Invoice for PO PO-ef4bd6d187,2025-07-20 01:19:59
INV-3bdca067,5207010848928,2025-03-17 10:22:34,2025-04-14 10:22:34,4564.96,Overdue,False,PO-01fb9e5e32,GL-1168,CC-169,Invoice for PO PO-01fb9e5e32,2025-03-16 10:22:34
INV-66b5e672,3143207886385,2025-03-18 10:22:34,2025-04-14 10:22:34,3800.53,Paid,False,PO-01fb9e5e32,GL-1015,CC-169,Invoice for PO PO-01fb9e5e32,2025-03-22 10:22:34
INV-1664d51d,9187923232488,2025-03-20 10:22:34,2025-04-14 10:22:34,4155.31,Received,False,PO-01fb9e5e32,GL-1150,CC-169,Invoice for PO PO-01fb9e5e32,2025-03-16 10:22:34
INV-9c8f0022,5793262345006,2024-01-20 07:23:10,2024-03-18 07:23:10,26075.17,Overdue,False,PO-02ad327fd4,GL-1083,CC-140,Invoice for PO PO-02ad327fd4,2024-01-26 07:23:10
INV-bc95a2ee,7464823375807,2024-01-20 07:23:10,2024-03-18 07:23:10,27043.31,Paid,False,PO-02ad327fd4,GL-1129,CC-140,Invoice for PO PO-02ad327fd4,2024-01-21 07:23:10
INV-effc8d4d,3513094521667,2023-11-02 23:54:51,2023-12-01 23:54:51,89614.49,Paid,False,PO-02de75cbd2,GL-1050,CC-176,Invoice for PO PO-02de75cbd2,2023-11-04 23:54:51
INV-f4f9d406,4987612408140,2023-11-06 23:54:51,2023-12-01 23:54:51,99745.55,Received,False,PO-02de75cbd2,GL-1186,CC-176,Invoice for PO PO-02de75cbd2,2023-11-04 23:54:51
INV-2a97946f,9912401928412,2025-09-27 16:56:46,2025-10-22 16:56:46,2017.59,Scheduled for Payment,False,PO-03635432b0,GL-1168,CC-156,Invoice for PO PO-03635432b0,2025-09-29 16:56:46
INV-bacb95dd,1019414260855,2025-09-27 16:56:46,2025-10-22 16:56:46,2056.44,Scheduled for Payment,False,PO-03635432b0,GL-1174,CC-156,Invoice for PO PO-03635432b0,2025-09-30 16:56:46
INV-17d37f92,4747769225454,2025-09-26 16:56:46,2025-10-22 16:56:46,2159.77,Rejected,False,PO-03635432b0,GL-1040,CC-156,Invoice for PO PO-03635432b0,2025-09-29 16:56:46
INV-6c733cac,4492624701627,2024-04-13 10:01:23,2024-06-10 10:01:23,57938.98,Approved,False,PO-04b6e8347d,GL-1132,CC-127,Invoice for PO PO-04b6e8347d,2024-04-21 10:01:23
INV-d57eea71,6174520217638,2024-11-22 14:14:34,2024-12-21 14:14:34,31254.58,Received,False,PO-050241b07d,GL-1134,CC-107,Invoice for PO PO-050241b07d,2024-11-28 14:14:34
INV-cc9a02b7,5259111189639,2024-11-22 14:14:34,2024-12-21 14:14:34,28696.22,Received,False,PO-050241b07d,GL-1001,CC-107,Invoice for PO PO-050241b07d,2024-11-23 14:14:34
INV-591f2612,6510895276588,2025-02-08 15:32:21,2025-05-07 15:32:21,20729.84,Received,False,PO-056d1f7353,GL-1198,CC-171,Invoice for PO PO-056d1f7353,2025-02-13 15:32:21
INV-2c81071b,1141390317558,2025-02-08 15:32:21,2025-05-07 15:32:21,17965.96,Paid,False,PO-056d1f7353,GL-1068,CC-171,Invoice for PO PO-056d1f7353,2025-02-11 15:32:21
INV-585b17e0,1928437531395,2025-05-12 14:03:42,2025-08-06 14:03:42,35114.56,Approved,False,PO-05dca70ad4,GL-1134,CC-175,Invoice for PO PO-05dca70ad4,2025-05-18 14:03:42
INV-db105159,7586191320859,2024-01-15 02:36:29,2024-04-12 02:36:29,29516.13,Overdue,False,PO-09968994e7,GL-1130,CC-155,Invoice for PO PO-09968994e7,2024-01-22 02:36:29
INV-f7d8f260,8962867550314,2024-01-14 02:36:29,2024-04-12 02:36:29,30330.49,Received,False,PO-09968994e7,GL-1031,CC-155,Invoice for PO PO-09968994e7,2024-01-20 02:36:29
INV-42946304,3482881828688,2024-01-16 02:36:29,2024-04-12 02:36:29,27853.5,Overdue,False,PO-09968994e7,GL-1058,CC-155,Invoice for PO PO-09968994e7,2024-01-17 02:36:29
INV-18417932,2383313325601,2025-07-15 20:01:06,2025-09-11 20:01:06,35492.06,Received,False,PO-0b68ef58c4,GL-1137,CC-138,Invoice for PO PO-0b68ef58c4,2025-07-16 20:01:06
INV-80f2ce7b,6350140443651,2025-07-14 20:01:06,2025-09-11 20:01:06,34789.52,Paid,False,PO-0b68ef58c4,GL-1114,CC-138,Invoice for PO PO-0b68ef58c4,2025-07-16 20:01:06
INV-750092c9,7319612724291,2025-07-18 20:01:06,2025-09-11 20:01:06,41978.97,Paid,False,PO-0b68ef58c4,GL-1114,CC-138,Invoice for PO PO-0b68ef58c4,2025-07-18 20:01:06
INV-4760de72,2669619749724,2024-03-18 18:13:57,2024-06-13 18:13:57,4941.24,Paid,False,PO-0e793fbc9d,GL-1190,CC-131,Invoice for PO PO-0e793fbc9d,2024-03-19 18:13:57
INV-b2f9539f,2730492931176,2024-03-16 18:13:57,2024-06-13 18:13:57,4412.86,Received,False,PO-0e793fbc9d,GL-1089,CC-131,Invoice for PO PO-0e793fbc9d,2024-03-23 18:13:57
INV-17d4d6e9,4166787664241,2023-10-23 14:52:22,2024-01-19 14:52:22,62657.68,Approved,False,PO-0e9e0b52cf,GL-1147,CC-169,Invoice for PO PO-0e9e0b52cf,2023-10-25 14:52:22
INV-d0edda09,8325614211942,2023-10-22 14:52:22,2024-01-19 14:52:22,57826.01,Received,False,PO-0e9e0b52cf,GL-1027,CC-169,Invoice for PO PO-0e9e0b52cf,2023-10-22 14:52:22
