employee_id,campaign_id,role,responsibility,allocation_percentage
EMP-10005,CMP_022025_017,Budget Owner,Budget Management & ROI,12
EMP-10019,CMP_022025_016,Campaign Lead,Campaign Execution & Performance,69
EMP-10006,CMP_022025_016,Budget Owner,Budget Management & ROI,10
EMP-10017,adi_022025_005,Campaign Lead,Campaign Execution & Performance,68
EMP-10009,adi_022025_005,Budget Owner,Budget Management & ROI,22
EMP-10022,adi_022025_005,Campaign Lead,Campaign Execution & Performance,54
EMP-10014,adi_022025_005,Budget Owner,Budget Management & ROI,19
EMP-10018,adi_022025_005,Campaign Lead,Campaign Execution & Performance,43
EMP-10006,adi_022025_005,Budget Owner,Budget Management & ROI,13
EMP-10017,adi_022025_007,Campaign Lead,Campaign Execution & Performance,43
EMP-10018,adi_022025_007,Budget Owner,Budget Management & ROI,22
EMP-10022,adi_022025_014,Campaign Lead,Campaign Execution & Performance,51
EMP-10005,adi_022025_014,Budget Owner,Budget Management & ROI,14
EMP-10019,adi_022025_010,Campaign Lead,Campaign Execution & Performance,45
EMP-10007,adi_022025_010,Budget Owner,Budget Management & ROI,24
EMP-10020,adi_022025_007,Campaign Lead,Campaign Execution & Performance,74
EMP-10023,adi_022025_007,Budget Owner,Budget Management & ROI,15
EMP-10023,adi_022025_007,Campaign Lead,Campaign Execution & Performance,74
EMP-10021,adi_022025_007,Budget Owner,Budget Management & ROI,16
EMP-10019,adi_022025_014,Campaign Lead,Campaign Execution & Performance,63
EMP-10012,adi_022025_014,Budget Owner,Budget Management & ROI,20
EMP-10019,adi_022025_014,Campaign Lead,Campaign Execution & Performance,49
EMP-10008,adi_022025_014,Budget Owner,Budget Management & ROI,22
EMP-10024,adi_022025_010,Campaign Lead,Campaign Execution & Performance,68
EMP-10015,adi_022025_010,Budget Owner,Budget Management & ROI,23
EMP-10022,adi_022025_010,Campaign Lead,Campaign Execution & Performance,64
EMP-10020,adi_022025_010,Budget Owner,Budget Management & ROI,24
EMP-10024,adi_022025_013,Campaign Lead,Campaign Execution & Performance,57
EMP-10015,adi_022025_013,Budget Owner,Budget Management & ROI,21
EMP-10024,adi_022025_006,Campaign Lead,Campaign Execution & Performance,69
EMP-10015,adi_022025_006,Budget Owner,Budget Management & ROI,15
EMP-10022,adi_022025_001,Campaign Lead,Campaign Execution & Performance,80
EMP-10009,adi_022025_001,Budget Owner,Budget Management & ROI,10
EMP-10017,adi_022025_013,Campaign Lead,Campaign Execution & Performance,49
EMP-10013,adi_022025_013,Budget Owner,Budget Management & ROI,11
EMP-10020,adi_022025_006,Campaign Lead,Campaign Execution & Performance,79
EMP-10023,adi_022025_006,Budget Owner,Budget Management & ROI,23
EMP-10024,CMP_022025_019,Campaign Lead,Campaign Execution & Performance,79
EMP-10010,CMP_022025_019,Budget Owner,Budget Management & ROI,22
EMP-10018,CMP_022025_018,Campaign Lead,Campaign Execution & Performance,59
EMP-10024,CMP_022025_018,Budget Owner,Budget Management & ROI,14
EMP-10022,CMP_022025_019,Campaign Lead,Campaign Execution & Performance,61
EMP-10015,CMP_022025_019,Budget Owner,Budget Management & ROI,24
EMP-10022,CMP_022025_019,Campaign Lead,Campaign Execution & Performance,67
EMP-10014,CMP_022025_019,Budget Owner,Budget Management & ROI,20
EMP-10023,CMP_022025_018,Campaign Lead,Campaign Execution & Performance,48
EMP-10015,CMP_022025_018,Budget Owner,Budget Management & ROI,20
EMP-10020,CMP_022025_018,Campaign Lead,Campaign Execution & Performance,49
EMP-10008,CMP_022025_018,Budget Owner,Budget Management & ROI,10
EMP-10019,adi_022025_008,Campaign Lead,Campaign Execution & Performance,68
EMP-10011,adi_022025_008,Budget Owner,Budget Management & ROI,15
EMP-10024,adi_022025_011,Campaign Lead,Campaign Execution & Performance,50
EMP-10012,adi_022025_011,Budget Owner,Budget Management & ROI,15
EMP-10017,adi_022025_015,Campaign Lead,Campaign Execution & Performance,62
EMP-10005,adi_022025_015,Budget Owner,Budget Management & ROI,21
EMP-10020,adi_032025_008,Campaign Lead,Campaign Execution & Performance,68
EMP-10018,adi_032025_008,Budget Owner,Budget Management & ROI,19
EMP-10024,CMP_032025_016,Campaign Lead,Campaign Execution & Performance,54
EMP-10020,CMP_032025_014,Campaign Lead,Campaign Execution & Performance,60
EMP-10015,CMP_032025_014,Budget Owner,Budget Management & ROI,16
EMP-10017,adi_032025_002,Campaign Lead,Campaign Execution & Performance,41
EMP-10014,adi_032025_002,Budget Owner,Budget Management & ROI,18
EMP-10022,adi_032025_002,Campaign Lead,Campaign Execution & Performance,49
EMP-10020,adi_032025_002,Budget Owner,Budget Management & ROI,17
EMP-10019,adi_032025_002,Campaign Lead,Campaign Execution & Performance,73
EMP-10021,adi_032025_002,Budget Owner,Budget Management & ROI,19
EMP-10024,CMP_032025_015,Campaign Lead,Campaign Execution & Performance,64
EMP-10016,CMP_032025_015,Budget Owner,Budget Management & ROI,19
EMP-10023,adi_032025_007,Campaign Lead,Campaign Execution & Performance,54
EMP-10022,adi_032025_007,Budget Owner,Budget Management & ROI,16
EMP-10017,adi_032025_003,Campaign Lead,Campaign Execution & Performance,63
EMP-10011,adi_032025_003,Budget Owner,Budget Management & ROI,18
EMP-10018,CMP_032025_015,Campaign Lead,Campaign Execution & Performance,70
EMP-10010,CMP_032025_015,Budget Owner,Budget Management & ROI,10
EMP-10020,CMP_032025_015,Campaign Lead,Campaign Execution & Performance,76
EMP-10020,adi_032025_007,Campaign Lead,Campaign Execution & Performance,55
EMP-10022,adi_032025_007,Budget Owner,Budget Management & ROI,18
EMP-10021,adi_032025_007,Campaign Lead,Campaign Execution & Performance,53
EMP-10022,adi_032025_007,Budget Owner,Budget Management & ROI,22
EMP-10019,adi_032025_003,Campaign Lead,Campaign Execution & Performance,53
EMP-10013,adi_032025_003,Budget Owner,Budget Management & ROI,25
EMP-10018,adi_032025_003,Campaign Lead,Campaign Execution & Performance,54
EMP-10007,adi_032025_003,Budget Owner,Budget Management & ROI,23
EMP-10017,CMP_032025_013,Campaign Lead,Campaign Execution & Performance,41
EMP-10019,CMP_032025_013,Budget Owner,Budget Management & ROI,17
EMP-10024,CMP_032025_012,Campaign Lead,Campaign Execution & Performance,47
EMP-10015,CMP_032025_012,Budget Owner,Budget Management & ROI,14
EMP-10019,adi_032025_001,Campaign Lead,Campaign Execution & Performance,47
EMP-10013,adi_032025_001,Budget Owner,Budget Management & ROI,21
EMP-10020,CMP_032025_013,Campaign Lead,Campaign Execution & Performance,61
EMP-10024,CMP_032025_013,Budget Owner,Budget Management & ROI,12
EMP-10020,CMP_032025_012,Campaign Lead,Campaign Execution & Performance,56
EMP-10008,CMP_032025_012,Budget Owner,Budget Management & ROI,23
EMP-10018,CMP_032025_017,Campaign Lead,Campaign Execution & Performance,57
EMP-10019,adi_032025_006,Campaign Lead,Campaign Execution & Performance,48
EMP-10024,adi_032025_006,Budget Owner,Budget Management & ROI,24
EMP-10019,CMP_032025_017,Campaign Lead,Campaign Execution & Performance,68
EMP-10012,CMP_032025_017,Budget Owner,Budget Management & ROI,11
EMP-10022,CMP_032025_017,Campaign Lead,Campaign Execution & Performance,55
EMP-10012,CMP_032025_017,Budget Owner,Budget Management & ROI,12
EMP-10021,adi_032025_006,Campaign Lead,Campaign Execution & Performance,42
EMP-10006,adi_032025_006,Budget Owner,Budget Management & ROI,13
EMP-10020,adi_032025_006,Campaign Lead,Campaign Execution & Performance,55
EMP-10013,adi_032025_006,Budget Owner,Budget Management & ROI,16
EMP-10023,CMP_032025_009,Campaign Lead,Campaign Execution & Performance,46
EMP-10017,CMP_032025_009,Budget Owner,Budget Management & ROI,13
EMP-10018,CMP_032025_010,Campaign Lead,Campaign Execution & Performance,61
EMP-10022,CMP_032025_010,Budget Owner,Budget Management & ROI,17
EMP-10019,CMP_032025_011,Campaign Lead,Campaign Execution & Performance,59
EMP-10006,CMP_032025_011,Budget Owner,Budget Management & ROI,13
EMP-10022,adi_042025_003,Campaign Lead,Campaign Execution & Performance,63
EMP-10023,adi_042025_003,Budget Owner,Budget Management & ROI,12
EMP-10021,adi_042025_004,Campaign Lead,Campaign Execution & Performance,41
EMP-10012,adi_042025_004,Budget Owner,Budget Management & ROI,24
EMP-10021,adi_042025_010,Campaign Lead,Campaign Execution & Performance,74
EMP-10006,adi_042025_010,Budget Owner,Budget Management & ROI,20
EMP-10018,adi_042025_002,Campaign Lead,Campaign Execution & Performance,74
EMP-10014,adi_042025_002,Budget Owner,Budget Management & ROI,15
EMP-10019,adi_042025_002,Campaign Lead,Campaign Execution & Performance,79
EMP-10024,adi_042025_002,Budget Owner,Budget Management & ROI,11
EMP-10018,adi_042025_002,Campaign Lead,Campaign Execution & Performance,55
EMP-10019,adi_042025_002,Budget Owner,Budget Management & ROI,16
EMP-10017,adi_042025_008,Campaign Lead,Campaign Execution & Performance,62
EMP-10006,adi_042025_008,Budget Owner,Budget Management & ROI,22
EMP-10023,CMP_042025_014,Campaign Lead,Campaign Execution & Performance,60
EMP-10014,CMP_042025_014,Budget Owner,Budget Management & ROI,21
EMP-10019,adi_042025_009,Campaign Lead,Campaign Execution & Performance,74
EMP-10021,adi_042025_009,Budget Owner,Budget Management & ROI,17
EMP-10022,adi_042025_008,Campaign Lead,Campaign Execution & Performance,47
EMP-10010,adi_042025_008,Budget Owner,Budget Management & ROI,22
EMP-10021,adi_042025_008,Campaign Lead,Campaign Execution & Performance,48
EMP-10017,adi_042025_008,Budget Owner,Budget Management & ROI,24
EMP-10022,CMP_042025_014,Campaign Lead,Campaign Execution & Performance,56
EMP-10018,CMP_042025_014,Budget Owner,Budget Management & ROI,23
EMP-10019,CMP_042025_014,Campaign Lead,Campaign Execution & Performance,71
EMP-10005,CMP_042025_014,Budget Owner,Budget Management & ROI,19
EMP-10022,adi_042025_009,Campaign Lead,Campaign Execution & Performance,70
EMP-10024,adi_042025_009,Budget Owner,Budget Management & ROI,16
EMP-10018,adi_042025_009,Campaign Lead,Campaign Execution & Performance,60
EMP-10020,adi_042025_009,Budget Owner,Budget Management & ROI,21
EMP-10018,adi_042025_006,Campaign Lead,Campaign Execution & Performance,62
EMP-10007,adi_042025_006,Budget Owner,Budget Management & ROI,17
EMP-10021,adi_042025_005,Campaign Lead,Campaign Execution & Performance,57
EMP-10007,adi_042025_005,Budget Owner,Budget Management & ROI,25
EMP-10018,adi_042025_001,Campaign Lead,Campaign Execution & Performance,67
EMP-10011,adi_042025_001,Budget Owner,Budget Management & ROI,23
EMP-10023,adi_042025_006,Campaign Lead,Campaign Execution & Performance,55
EMP-10005,adi_042025_006,Budget Owner,Budget Management & ROI,25
EMP-10023,adi_042025_005,Campaign Lead,Campaign Execution & Performance,51
EMP-10017,adi_042025_005,Budget Owner,Budget Management & ROI,23
EMP-10021,adi_042025_012,Campaign Lead,Campaign Execution & Performance,46
EMP-10015,adi_042025_012,Budget Owner,Budget Management & ROI,15
EMP-10021,adi_042025_007,Campaign Lead,Campaign Execution & Performance,57
EMP-10010,adi_042025_007,Budget Owner,Budget Management & ROI,21
EMP-10022,adi_042025_012,Campaign Lead,Campaign Execution & Performance,42
EMP-10017,adi_042025_012,Budget Owner,Budget Management & ROI,15
EMP-10020,adi_042025_012,Campaign Lead,Campaign Execution & Performance,78
EMP-10011,adi_042025_012,Budget Owner,Budget Management & ROI,13
EMP-10021,adi_042025_007,Campaign Lead,Campaign Execution & Performance,72
EMP-10015,adi_042025_007,Budget Owner,Budget Management & ROI,17
EMP-10017,adi_042025_007,Campaign Lead,Campaign Execution & Performance,73
EMP-10007,adi_042025_007,Budget Owner,Budget Management & ROI,11
EMP-10017,CMP_042025_013,Campaign Lead,Campaign Execution & Performance,73
EMP-10007,CMP_042025_013,Budget Owner,Budget Management & ROI,25
EMP-10017,CMP_042025_013,Campaign Lead,Campaign Execution & Performance,76
EMP-10012,CMP_042025_013,Budget Owner,Budget Management & ROI,14
EMP-10024,CMP_042025_013,Campaign Lead,Campaign Execution & Performance,57
EMP-10011,CMP_042025_013,Budget Owner,Budget Management & ROI,19
EMP-10022,adi_052025_004,Campaign Lead,Campaign Execution & Performance,76
EMP-10021,adi_052025_004,Budget Owner,Budget Management & ROI,21
EMP-10018,adi_052025_005,Campaign Lead,Campaign Execution & Performance,40
EMP-10015,adi_052025_005,Budget Owner,Budget Management & ROI,14
EMP-10021,adi_052025_006,Campaign Lead,Campaign Execution & Performance,63
EMP-10018,adi_052025_006,Budget Owner,Budget Management & ROI,24
EMP-10023,adi_052025_006,Campaign Lead,Campaign Execution & Performance,52
EMP-10016,adi_052025_006,Budget Owner,Budget Management & ROI,24
EMP-10019,adi_052025_002,Campaign Lead,Campaign Execution & Performance,50
EMP-10016,adi_052025_002,Budget Owner,Budget Management & ROI,19
EMP-10024,adi_052025_002,Campaign Lead,Campaign Execution & Performance,49
EMP-10017,adi_052025_002,Budget Owner,Budget Management & ROI,13
EMP-10020,adi_052025_002,Campaign Lead,Campaign Execution & Performance,57
EMP-10018,adi_052025_002,Budget Owner,Budget Management & ROI,20
EMP-10021,adi_052025_011,Campaign Lead,Campaign Execution & Performance,74
EMP-10011,adi_052025_011,Budget Owner,Budget Management & ROI,14
EMP-10022,adi_052025_013,Campaign Lead,Campaign Execution & Performance,41
EMP-10009,adi_052025_013,Budget Owner,Budget Management & ROI,10
EMP-10019,adi_052025_003,Campaign Lead,Campaign Execution & Performance,80
EMP-10011,adi_052025_003,Budget Owner,Budget Management & ROI,25
EMP-10022,adi_052025_011,Campaign Lead,Campaign Execution & Performance,45
EMP-10006,adi_052025_011,Budget Owner,Budget Management & ROI,25
EMP-10023,adi_052025_011,Campaign Lead,Campaign Execution & Performance,49
EMP-10015,adi_052025_011,Budget Owner,Budget Management & ROI,17
EMP-10019,adi_052025_013,Campaign Lead,Campaign Execution & Performance,58
EMP-10024,adi_052025_013,Budget Owner,Budget Management & ROI,20
EMP-10023,adi_052025_013,Campaign Lead,Campaign Execution & Performance,79
EMP-10014,adi_052025_013,Budget Owner,Budget Management & ROI,22
EMP-10023,adi_052025_003,Campaign Lead,Campaign Execution & Performance,74
EMP-10005,adi_052025_003,Budget Owner,Budget Management & ROI,18
EMP-10017,adi_052025_003,Campaign Lead,Campaign Execution & Performance,68
EMP-10005,adi_052025_003,Budget Owner,Budget Management & ROI,23
EMP-10018,adi_052025_007,Campaign Lead,Campaign Execution & Performance,79
EMP-10021,adi_052025_007,Budget Owner,Budget Management & ROI,19
EMP-10024,adi_052025_010,Campaign Lead,Campaign Execution & Performance,68
EMP-10013,adi_052025_010,Budget Owner,Budget Management & ROI,22
EMP-10022,adi_052025_001,Campaign Lead,Campaign Execution & Performance,63
EMP-10023,adi_052025_001,Budget Owner,Budget Management & ROI,10
EMP-10019,adi_052025_007,Campaign Lead,Campaign Execution & Performance,43
EMP-10009,adi_052025_007,Budget Owner,Budget Management & ROI,16
EMP-10018,adi_052025_010,Campaign Lead,Campaign Execution & Performance,60
EMP-10010,adi_052025_010,Budget Owner,Budget Management & ROI,21
EMP-10022,adi_052025_008,Campaign Lead,Campaign Execution & Performance,52
EMP-10023,adi_052025_008,Budget Owner,Budget Management & ROI,15
EMP-10020,adi_052025_012,Campaign Lead,Campaign Execution & Performance,66
EMP-10006,adi_052025_012,Budget Owner,Budget Management & ROI,17
EMP-10019,adi_052025_008,Campaign Lead,Campaign Execution & Performance,42
EMP-10023,adi_052025_008,Campaign Lead,Campaign Execution & Performance,67
EMP-10024,adi_052025_008,Budget Owner,Budget Management & ROI,19
EMP-10020,adi_052025_012,Campaign Lead,Campaign Execution & Performance,45
EMP-10005,adi_052025_012,Budget Owner,Budget Management & ROI,13
EMP-10019,adi_052025_012,Campaign Lead,Campaign Execution & Performance,40
EMP-10017,adi_052025_012,Budget Owner,Budget Management & ROI,17
EMP-10021,adi_052025_009,Campaign Lead,Campaign Execution & Performance,43
EMP-10014,adi_052025_009,Budget Owner,Budget Management & ROI,10
EMP-10017,adi_052025_009,Campaign Lead,Campaign Execution & Performance,75
EMP-10008,adi_052025_009,Budget Owner,Budget Management & ROI,16
EMP-10021,adi_052025_009,Campaign Lead,Campaign Execution & Performance,56
EMP-10005,adi_052025_009,Budget Owner,Budget Management & ROI,22
EMP-10022,adi_062025_008,Campaign Lead,Campaign Execution & Performance,64
EMP-10019,adi_062025_008,Budget Owner,Budget Management & ROI,11
EMP-10024,adi_062025_011,Campaign Lead,Campaign Execution & Performance,68
EMP-10016,adi_062025_011,Budget Owner,Budget Management & ROI,20
EMP-10021,adi_062025_007,Campaign Lead,Campaign Execution & Performance,52
EMP-10017,adi_062025_007,Budget Owner,Budget Management & ROI,15
EMP-10022,adi_062025_002,Campaign Lead,Campaign Execution & Performance,65
EMP-10007,adi_062025_002,Budget Owner,Budget Management & ROI,24
EMP-10020,adi_062025_006,Campaign Lead,Campaign Execution & Performance,49
EMP-10015,adi_062025_006,Budget Owner,Budget Management & ROI,15
EMP-10019,adi_062025_013,Campaign Lead,Campaign Execution & Performance,54
EMP-10024,adi_062025_013,Budget Owner,Budget Management & ROI,19
EMP-10024,adi_062025_010,Campaign Lead,Campaign Execution & Performance,61
EMP-10018,adi_062025_006,Campaign Lead,Campaign Execution & Performance,63
EMP-10023,adi_062025_006,Budget Owner,Budget Management & ROI,16
EMP-10017,adi_062025_013,Campaign Lead,Campaign Execution & Performance,61
EMP-10013,adi_062025_013,Budget Owner,Budget Management & ROI,23
EMP-10024,adi_062025_010,Campaign Lead,Campaign Execution & Performance,60
EMP-10022,adi_062025_010,Budget Owner,Budget Management & ROI,23
EMP-10021,adi_062025_006,Campaign Lead,Campaign Execution & Performance,71
EMP-10008,adi_062025_006,Budget Owner,Budget Management & ROI,11
EMP-10022,adi_062025_013,Campaign Lead,Campaign Execution & Performance,46
EMP-10023,adi_062025_013,Budget Owner,Budget Management & ROI,15
EMP-10018,adi_062025_010,Campaign Lead,Campaign Execution & Performance,43
EMP-10005,adi_062025_010,Budget Owner,Budget Management & ROI,15
EMP-10024,adi_062025_004,Campaign Lead,Campaign Execution & Performance,72
EMP-10022,adi_062025_004,Budget Owner,Budget Management & ROI,16
EMP-10024,adi_062025_003,Campaign Lead,Campaign Execution & Performance,73
EMP-10012,adi_062025_003,Budget Owner,Budget Management & ROI,15
EMP-10024,adi_062025_001,Campaign Lead,Campaign Execution & Performance,72
EMP-10007,adi_062025_001,Budget Owner,Budget Management & ROI,12
EMP-10023,adi_062025_004,Campaign Lead,Campaign Execution & Performance,53
EMP-10015,adi_062025_004,Budget Owner,Budget Management & ROI,25
EMP-10019,adi_062025_003,Campaign Lead,Campaign Execution & Performance,78
EMP-10023,adi_062025_003,Budget Owner,Budget Management & ROI,17
EMP-10021,adi_062025_004,Campaign Lead,Campaign Execution & Performance,48
EMP-10014,adi_062025_004,Budget Owner,Budget Management & ROI,20
EMP-10022,adi_062025_003,Campaign Lead,Campaign Execution & Performance,46
EMP-10006,adi_062025_003,Budget Owner,Budget Management & ROI,21
EMP-10024,adi_062025_012,Campaign Lead,Campaign Execution & Performance,72
EMP-10019,adi_062025_012,Budget Owner,Budget Management & ROI,20
EMP-10019,adi_062025_005,Campaign Lead,Campaign Execution & Performance,68
EMP-10012,adi_062025_005,Budget Owner,Budget Management & ROI,16
EMP-10024,adi_062025_005,Campaign Lead,Campaign Execution & Performance,78
EMP-10014,adi_062025_005,Budget Owner,Budget Management & ROI,10
EMP-10020,adi_062025_012,Campaign Lead,Campaign Execution & Performance,42
EMP-10008,adi_062025_012,Budget Owner,Budget Management & ROI,15
EMP-10019,adi_062025_014,Campaign Lead,Campaign Execution & Performance,74
EMP-10024,adi_062025_014,Budget Owner,Budget Management & ROI,12
EMP-10020,adi_062025_009,Campaign Lead,Campaign Execution & Performance,65
EMP-10015,adi_062025_009,Budget Owner,Budget Management & ROI,21
EMP-10020,CMP_062025_015,Campaign Lead,Campaign Execution & Performance,63
EMP-10019,CMP_062025_015,Budget Owner,Budget Management & ROI,24
EMP-10022,adi_072025_014,Campaign Lead,Campaign Execution & Performance,69
EMP-10005,adi_072025_014,Budget Owner,Budget Management & ROI,20
EMP-10020,adi_072025_015,Campaign Lead,Campaign Execution & Performance,45
EMP-10013,adi_072025_015,Budget Owner,Budget Management & ROI,25
EMP-10024,adi_072025_013,Campaign Lead,Campaign Execution & Performance,59
EMP-10018,adi_072025_013,Budget Owner,Budget Management & ROI,23
EMP-10024,adi_072025_002,Campaign Lead,Campaign Execution & Performance,47
EMP-10021,adi_072025_002,Budget Owner,Budget Management & ROI,14
EMP-10023,adi_072025_009,Campaign Lead,Campaign Execution & Performance,66
EMP-10012,adi_072025_009,Budget Owner,Budget Management & ROI,12
EMP-10020,adi_072025_009,Campaign Lead,Campaign Execution & Performance,46
EMP-10016,adi_072025_009,Budget Owner,Budget Management & ROI,24
EMP-10017,adi_072025_006,Campaign Lead,Campaign Execution & Performance,65
EMP-10023,adi_072025_006,Budget Owner,Budget Management & ROI,24
EMP-10020,adi_072025_010,Campaign Lead,Campaign Execution & Performance,56
EMP-10011,adi_072025_010,Budget Owner,Budget Management & ROI,10
EMP-10022,adi_072025_009,Campaign Lead,Campaign Execution & Performance,47
EMP-10008,adi_072025_009,Budget Owner,Budget Management & ROI,12
EMP-10023,adi_072025_006,Campaign Lead,Campaign Execution & Performance,54
EMP-10012,adi_072025_006,Budget Owner,Budget Management & ROI,19
EMP-10018,adi_072025_010,Campaign Lead,Campaign Execution & Performance,48
EMP-10014,adi_072025_010,Budget Owner,Budget Management & ROI,16
EMP-10020,adi_072025_009,Campaign Lead,Campaign Execution & Performance,80
EMP-10022,adi_072025_009,Budget Owner,Budget Management & ROI,17
EMP-10019,adi_072025_006,Campaign Lead,Campaign Execution & Performance,53
EMP-10023,adi_072025_010,Campaign Lead,Campaign Execution & Performance,61
EMP-10013,adi_072025_010,Budget Owner,Budget Management & ROI,22
EMP-10019,adi_072025_006,Campaign Lead,Campaign Execution & Performance,70
EMP-10008,adi_072025_006,Budget Owner,Budget Management & ROI,12
EMP-10022,adi_072025_010,Campaign Lead,Campaign Execution & Performance,75
EMP-10010,adi_072025_010,Budget Owner,Budget Management & ROI,21
EMP-10017,adi_072025_003,Campaign Lead,Campaign Execution & Performance,43
EMP-10023,adi_072025_003,Budget Owner,Budget Management & ROI,23
EMP-10018,adi_072025_008,Campaign Lead,Campaign Execution & Performance,77
EMP-10007,adi_072025_008,Budget Owner,Budget Management & ROI,13
EMP-10017,adi_072025_003,Campaign Lead,Campaign Execution & Performance,42
EMP-10015,adi_072025_003,Budget Owner,Budget Management & ROI,19
EMP-10017,adi_072025_008,Campaign Lead,Campaign Execution & Performance,40
EMP-10012,adi_072025_008,Budget Owner,Budget Management & ROI,18
EMP-10017,adi_072025_001,Campaign Lead,Campaign Execution & Performance,45
EMP-10024,adi_072025_001,Budget Owner,Budget Management & ROI,12
EMP-10018,adi_072025_003,Campaign Lead,Campaign Execution & Performance,63
EMP-10011,adi_072025_003,Budget Owner,Budget Management & ROI,14
EMP-10022,adi_072025_008,Campaign Lead,Campaign Execution & Performance,64
EMP-10006,adi_072025_008,Budget Owner,Budget Management & ROI,16
EMP-10021,adi_072025_003,Campaign Lead,Campaign Execution & Performance,40
EMP-10007,adi_072025_003,Budget Owner,Budget Management & ROI,11
EMP-10017,adi_072025_008,Campaign Lead,Campaign Execution & Performance,77
EMP-10012,adi_072025_008,Budget Owner,Budget Management & ROI,15
EMP-10020,adi_072025_011,Campaign Lead,Campaign Execution & Performance,62
EMP-10019,adi_072025_011,Budget Owner,Budget Management & ROI,20
EMP-10022,adi_072025_005,Campaign Lead,Campaign Execution & Performance,54
EMP-10009,adi_072025_005,Budget Owner,Budget Management & ROI,20
EMP-10018,adi_072025_005,Campaign Lead,Campaign Execution & Performance,59
EMP-10011,adi_072025_005,Budget Owner,Budget Management & ROI,21
EMP-10024,adi_072025_011,Campaign Lead,Campaign Execution & Performance,75
EMP-10010,adi_072025_011,Budget Owner,Budget Management & ROI,20
EMP-10024,adi_072025_004,Campaign Lead,Campaign Execution & Performance,65
EMP-10021,adi_072025_004,Budget Owner,Budget Management & ROI,24
EMP-10017,adi_072025_007,Campaign Lead,Campaign Execution & Performance,73
EMP-10021,adi_072025_007,Budget Owner,Budget Management & ROI,23
EMP-10019,adi_072025_012,Campaign Lead,Campaign Execution & Performance,73
EMP-10005,adi_072025_012,Budget Owner,Budget Management & ROI,21
EMP-10022,adi_082025_013,Campaign Lead,Campaign Execution & Performance,61
EMP-10021,adi_082025_013,Budget Owner,Budget Management & ROI,16
EMP-10019,adi_082025_005,Campaign Lead,Campaign Execution & Performance,48
EMP-10013,adi_082025_005,Budget Owner,Budget Management & ROI,22
EMP-10022,adi_082025_002,Campaign Lead,Campaign Execution & Performance,68
EMP-10008,adi_082025_002,Budget Owner,Budget Management & ROI,11
EMP-10024,adi_082025_008,Campaign Lead,Campaign Execution & Performance,74
EMP-10008,adi_082025_008,Budget Owner,Budget Management & ROI,23
EMP-10024,adi_082025_007,Campaign Lead,Campaign Execution & Performance,55
EMP-10008,adi_082025_007,Budget Owner,Budget Management & ROI,17
EMP-10024,adi_082025_011,Campaign Lead,Campaign Execution & Performance,54
EMP-10015,adi_082025_011,Budget Owner,Budget Management & ROI,18
